judul,hyperlink,img_hyperlinks
2 RUMAH DI SONITEN II PERUM PESONA ALAM PERMAI,https://www.rumah123.com//properti/balikpapan/hos16174686/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16174686/original/hos16174686-rumah-di-jual-di-balikpapan-utara-balikpapan-1706247776.jpg
Rumah Nyaman Dalam Cluster,https://www.rumah123.com//properti/balikpapan/hos16170727/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1641896/2024-01-26-00-18-51-735d9ced-d126-42c5-bd70-5a6b70056c60.jpg
Rumah Asri Tanah Ngantong,https://www.rumah123.com//properti/balikpapan/hos16170681/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1641896/2024-01-26-00-01-20-31153563-7aa0-4cfa-8334-45e5a3f7434a.jpg
TURUN HARGA!!!  CEPAT RUMAH CANTIK BARU SELESAI RENOVASI DI PERUMAHAN TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,https://www.rumah123.com//properti/balikpapan/hos16104213/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16104213/original/hos16104213-rumah-di-jual-di-balikpapan-utara-balikpapan-1705654413.jpg
"BALIKPAPAN, KOST 40 KAMAR STRATEGIS PINGGIR JALAN RAYA PRAPATAN COCOK UNTUK INVESTASI",https://www.rumah123.com//properti/balikpapan/hos16104183/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16104183/original/hos16104183-rumah-di-jual-di-prapatan-balikpapan-1705654311.jpg
"BALIKPAPAN, RUMAH CANTIK DAN MINIMALIS DI PALM HILLS",https://www.rumah123.com//properti/balikpapan/hos16104138/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16104138/original/hos16104138-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705654169.jpg
Rumah Bagus Siap Huni di Balikpapan SHM,https://www.rumah123.com//properti/balikpapan/hos16103701/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2024-01-19-08-27-44-9196a110-39dc-4f99-8f79-60bb7afa5a81.jpg
RUMAH CANTIK 1 LANTAI HOOK FULLY FURNISHED DALAM CLUSTER HUNIAN NYAMAN ASRI DAN TENANG,https://www.rumah123.com//properti/balikpapan/hos16102381/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16102381/original/hos16102381-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705648420.jpg
"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",https://www.rumah123.com//properti/balikpapan/hos16101956/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16101956/original/hos16101956-rumah-di-jual-di-damai-balikpapan-1705646792.jpg
BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,https://www.rumah123.com//properti/balikpapan/hos16100913/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16100913/original/hos16100913-rumah-di-jual-di-balikpapan-baru-balikpapan-1705642113.jpg
BALIKPAPAN PERUM BUKIT DAMAI INDAH,https://www.rumah123.com//properti/balikpapan/hos16100876/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16100876/original/hos16100876-rumah-di-jual-di-damai-balikpapan-1705641915.jpg
BALIKPAPAN RUMAH MURAH SEPINGGAN,https://www.rumah123.com//properti/balikpapan/hos16099446/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16099446/original/hos16099446-rumah-di-jual-di-balikpapan-timur-balikpapan-1705636838.jpg
