Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
800.0,"Balikpapan Timur, Balikpapan",2.0,2.0,150,80,SHM - Sertifikat Hak Milik,2200
2700.0,"Balikpapan Utara, Balikpapan",4.0,3.0,311,225,SHM - Sertifikat Hak Milik,3500
2400.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,215,250,SHM - Sertifikat Hak Milik,3500
2500.0,"Balikpapan Utara, Balikpapan",4.0,2.0,400,200,SHM - Sertifikat Hak Milik,1300
1500.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,108,61,SHM - Sertifikat Hak Milik,2200
530.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,75,45,SHM - Sertifikat Hak Milik,1300
1200.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,180,150,SHM - Sertifikat Hak Milik,2200
900.0,"Balikpapan Timur, Balikpapan",3.0,1.0,114,90,SHM - Sertifikat Hak Milik,1300
1500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,256,200,SHM - Sertifikat Hak Milik,2200
800.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,200,195,SHM - Sertifikat Hak Milik,2200
3300.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,215,230,SHM - Sertifikat Hak Milik,3500
2050.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,200,108,SHM - Sertifikat Hak Milik,2200
750.0,"Balikpapan Utara, Balikpapan",2.0,2.0,163,80,SHM - Sertifikat Hak Milik,4400
5000.0,"Balikpapan Selatan, Balikpapan",5.0,4.0,499,400,SHM - Sertifikat Hak Milik,4400
28500.0,"Balikpapan Selatan, Balikpapan",15.0,15.0,1060,1600,SHM - Sertifikat Hak Milik,16500
4500.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,475,380,SHM - Sertifikat Hak Milik,7600
3500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,160,298,SHM - Sertifikat Hak Milik,5500
1400.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,144,100,SHM - Sertifikat Hak Milik,2200
1100.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,134,100,SHM - Sertifikat Hak Milik,3500
700.0,"Balikpapan Utara, Balikpapan",2.0,1.0,110,110,SHM - Sertifikat Hak Milik,1300
370.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,72,72,SHM - Sertifikat Hak Milik,1300
470.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,180,154,SHM - Sertifikat Hak Milik,900
750.0,"Balikpapan Utara, Balikpapan",2.0,1.0,111,95,SHM - Sertifikat Hak Milik,1300
750.0,"Balikpapan Utara, Balikpapan",2.0,2.0,90,90,SHM - Sertifikat Hak Milik,2200
900.0,"Gn. Samarinda, Balikpapan",5.0,2.0,330,108,SHM - Sertifikat Hak Milik,1300
1300.0,"Sepinggan, Balikpapan",3.0,2.0,350,91,SHM - Sertifikat Hak Milik,1300
450.0,"Sumber Rejo, Balikpapan",3.0,1.0,173,30,SHM - Sertifikat Hak Milik,2200
2900.0,"Balikpapan Kota, Balikpapan",15.0,9.0,650,380,SHM - Sertifikat Hak Milik,4400
1850.0,"Sepinggan, Balikpapan",4.0,3.0,150,150,SHM - Sertifikat Hak Milik,3500
925.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,90,60,HGB - Hak Guna Bangunan,1300
1050.0,"Balikpapan Utara, Balikpapan",2.0,1.0,168,54,HGB - Hak Guna Bangunan,1300
980.0,"Balikpapan Utara, Balikpapan",2.0,2.0,120,110,SHM - Sertifikat Hak Milik,2200
