judul,hyperlink,img_hyperlinks
BORNEO BAY KN 2BR,https://www.rumah123.com//properti/balikpapan/aps2997748/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2997748/original/aps2997748-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693528344.jpg
BORNEO BAY AN 2BR,https://www.rumah123.com//properti/balikpapan/aps2997746/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2997746/original/aps2997746-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693528183.jpg
BORNEO BAY MP 3BR,https://www.rumah123.com//properti/balikpapan/aps2997745/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2997745/original/aps2997745-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693527765.jpg
BORNEO BAY TYPE STUDIO,https://www.rumah123.com//properti/balikpapan/aps2997744/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2997744/original/aps2997744-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693527533.jpg
Dijual Sewa Apartemen Lux Full Furnished Aeropolis Balikpapan,https://www.rumah123.com//properti/balikpapan/aps2989829/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-25-07-05-08-e05084d8-747d-48c0-a43d-481a4b64f8ae.jpg
apartment 3Bed Room tinggal Masuk badan aja,https://www.rumah123.com//properti/balikpapan/aps2989737/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1655652/2023-08-25-05-53-08-0e5fce44-40ff-4fe0-aa33-0f3927f3bc71.jpg
APARTEMENT SECOND LOKASI DEPAN BANDARA SAMS BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps2914483/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2914483/original/aps2914483-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1685675098.jpg
Apartemen baru jual murah Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps2778265/,https://picture.rumah123.com/r123-images/720x420-crop/customer/29766/2022-12-09-11-22-58-6d96f082-3325-4ded-af2c-5c55de916f48.jpg
Apartemen baru jual murah Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps2778258/,https://picture.rumah123.com/r123-images/720x420-crop/customer/29766/2022-12-09-11-17-14-104d38a7-505c-416c-928a-5d48db2c29fe.jpg
Apartemen baru lt.19 jual murah Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps2778221/,https://picture.rumah123.com/r123-images/720x420-crop/customer/29766/2022-12-09-10-14-47-4a77303d-61fb-4e7e-acba-e8058b7ebc50.jpg
