judul,kategori,prices,info,hyperlink,img_hyperlinks
Dijual Rumah Lux 1 Lantai Full Furnished Dengan Kolam Renang ,Rumah,"Rp 5,5 MiliarCicilan : 24 Jutaan per bulan",331LT : 500 m²LB : 350 m²,https://www.rumah123.com//properti/balikpapan/hos14565715/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-23-11-11-30-58c7ed6c-55c5-4503-ae21-32825d8c1294.jpg
"BALIKPAPAN, PERUMAHAN ROYAL RECIDENT",Rumah,Rp 500 JutaCicilan : 2 Jutaan per bulan,21LT : 75 m²LB : 60 m²,https://www.rumah123.com//properti/balikpapan/hos15619217/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15619217/original/hos15619217-rumah-di-jual-di-balikpapan-timur-balikpapan-1701236848.jpg
1087. Dijual rumah murah di Perumahan Balikpapan Baru Kalimantan,Rumah,"Rp 6,5 MiliarCicilan : 29 Jutaan per bulan",12103LT : 719 m²LB : 800 m²,https://www.rumah123.com//properti/balikpapan/hos10940912/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10940912/original/hos10940912-rumah-di-jual-di-balikpapan-baru-balikpapan-1661351102.jpg
BALIKPAPAN PERUMAHAN KORPRI PRAJA RINGROAD,Rumah,Rp 850 JutaCicilan : 3 Jutaan per bulan,32LT : 150 m²LB : 120 m²,https://www.rumah123.com//properti/balikpapan/hos15434613/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15434613/original/hos15434613-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699783043.jpg
BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,Rumah,"Rp 2,7 MiliarCicilan : 12 Jutaan per bulan",43LT : 320 m²LB : 155 m²,https://www.rumah123.com//properti/balikpapan/hos15778980/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15778980/original/hos15778980-rumah-di-jual-di-balikpapan-baru-balikpapan-1702513367.jpg
RUMAH/VILLA/COTAGE /KEBUN  BUAH SANGAT LUAS,Rumah,Rp 1 Juta,106LT : 52630 m²LB : 1000 m²,https://www.rumah123.com//properti/balikpapan/hos2055938/,https://picture.rumah123.com/r123/720x420-crop/house/ho20/2055938/original/hos2055938-rumah-di-jual-di-balikpapan-utara-balikpapan-16038571967611.jpg
RUMAH DI PUPUK RAYA,Rumah,"Rp 3,35 MiliarCicilan : 15 Jutaan per bulan",54LT : 250 m²LB : 213 m²,https://www.rumah123.com//properti/balikpapan/hos16264221/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16264221/original/hos16264221-rumah-di-jual-di-balikpapan-selatan-balikpapan-1706884789.jpg
Rumah Mewah Bagus 2 Lantai Siap Huni di Perumahan,Rumah,Rp 15 MiliarCicilan : 68 Jutaan per bulan,551LT : 660 m²LB : 500 m²,https://www.rumah123.com//properti/balikpapan/hos16256397/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2024-02-02-05-46-31-d051a9f4-7034-4f3a-9f65-1d517ae6e816.jpg
Rumah cocok untuk kos2an di tengah kota,Rumah,"Rp 3,5 MiliarCicilan : 15 Jutaan per bulan",LT : 418 m²LB : 600 m²,https://www.rumah123.com//properti/balikpapan/hos16255846/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1730302/2024-02-02-05-00-08-1462fc26-46cf-4564-82c0-37218dc9de5c.jpg
RUMAH DENGAN BANGUNAN BARU DI PERUMAHAN GRAND CITY,Rumah,"Rp 3,5 MiliarCicilan : 15 Jutaan per bulan",32LT : 216 m²LB : 172 m²,https://www.rumah123.com//properti/balikpapan/hos16251141/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16251141/original/hos16251141-rumah-di-jual-di-balikpapan-utara-balikpapan-1706833796.jpg
RUMAH SIAP TINGGAL LOKASI STRATEGIS TENGAH KOTA,Rumah,Rp 750 JutaCicilan : 3 Jutaan per bulan,32LT : 150 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos16251118/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16251118/original/hos16251118-rumah-di-jual-di-balikpapan-selatan-balikpapan-1706833410.jpg
RUMAH MEWAH 2 LANTAI SIAP HUNI DI PINEVILLE GRAND CITY,Rumah,"Rp 3,95 MiliarCicilan : 17 Jutaan per bulan",33LT : 180 m²LB : 200 m²,https://www.rumah123.com//properti/balikpapan/hos16180116/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16180116/original/hos16180116-rumah-di-jual-di-balikpapan-selatan-balikpapan-1706273482.jpg
2 RUMAH DI SONITEN II PERUM PESONA ALAM PERMAI,Rumah,"Rp 2,8 MiliarCicilan : 12 Jutaan per bulan",44LT : 256 m²LB : 180 m²,https://www.rumah123.com//properti/balikpapan/hos16174686/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16174686/original/hos16174686-rumah-di-jual-di-balikpapan-utara-balikpapan-1706247776.jpg
Rumah Nyaman Dalam Cluster,Rumah,Rp 900 JutaCicilan : 4 Jutaan per bulan,LT : 189 m²LB : 120 m²,https://www.rumah123.com//properti/balikpapan/hos16170727/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1641896/2024-01-26-00-18-51-735d9ced-d126-42c5-bd70-5a6b70056c60.jpg
