judul,kategori,prices,info,hyperlink,img_hyperlinks
Hunian unik ditengah kota balikpapan.   ,Rumah,Rp 900 JutaCicilan : 4 Jutaan per bulan,52LT : 330 m²LB : 108 m²,https://www.rumah123.com//properti/balikpapan/hos15714357/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714357/original/hos15714357-rumah-di-jual-di-gn.-samarinda-balikpapan-1701993962.jpg
Hunian Cantik dekat SMAN 4 Balikpapan.  ,Rumah,"Rp 1,3 MiliarCicilan : 5 Jutaan per bulan",322LT : 350 m²LB : 91 m²,https://www.rumah123.com//properti/balikpapan/hos15714351/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714351/original/hos15714351-rumah-di-jual-di-sepinggan-balikpapan-1701993864.jpg
Hunian murah Di  daerah Gunung Guntur ditengah kota ,Rumah,Rp 450 JutaCicilan : 2 Jutaan per bulan,31LT : 173 m²LB : 30 m²,https://www.rumah123.com//properti/balikpapan/hos15714345/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714345/original/hos15714345-rumah-di-jual-di-sumber-rejo-balikpapan-1701993794.jpg
Rumah kos tengah kota balikpapan ,Rumah,"Rp 2,9 MiliarCicilan : 13 Jutaan per bulan",1594LT : 650 m²LB : 380 m²,https://www.rumah123.com//properti/balikpapan/hos15644998/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2023-12-01-07-51-16-8b334f55-016b-4b47-97ff-647c8fcd6362.jpg
"BALIKPAPAN RUMAH BESAR STRATEGIS DEKAT BANDARA , PASAR DAN SEKOLAH ",Rumah,"Rp 1,85 MiliarCicilan : 8 Jutaan per bulan",431LT : 150 m²LB : 150 m²,https://www.rumah123.com//properti/balikpapan/hos15578319/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1772617/2023-11-24-12-18-45-0c17f1bf-f32c-4fc5-9d4e-3ff75765ecd6.jpg
turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rumah,Rp 925 JutaCicilan : 4 Jutaan per bulan,21LT : 90 m²LB : 60 m²,https://www.rumah123.com//properti/balikpapan/hos15578037/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15578037/original/hos15578037-rumah-di-jual-di-balikpapan-selatan-balikpapan-1700825451.jpg
RUMAH SATU LANTAI DI KAWASAN PERUMAHAN WIKA,Rumah,"Rp 1,05 MiliarCicilan : 4 Jutaan per bulan",21LT : 168 m²LB : 54 m²,https://www.rumah123.com//properti/balikpapan/hos15577288/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15577288/original/hos15577288-rumah-di-jual-di-balikpapan-utara-balikpapan-1700819061.jpg
"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",Rumah,Rp 980 JutaCicilan : 4 Jutaan per bulan,22LT : 120 m²LB : 110 m²,https://www.rumah123.com//properti/balikpapan/hos15573817/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15573817/original/hos15573817-rumah-di-jual-di-balikpapan-utara-balikpapan-1700806187.jpg
Dijual Rumah Beserta Usaha Salon Dan Studio Dance Di Balikpapan Baru Bb,Rumah,Rp 3 MiliarCicilan : 13 Jutaan per bulan,332LT : 320 m²LB : 400 m²,https://www.rumah123.com//properti/balikpapan/hos15570187/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-11-24-02-45-39-eac1ba32-4ace-4379-8fce-e54c6052b44c.jpg
"Dijual Rumah di Balikpapan Baru Bb, Balikpapan",Rumah,"Rp 1,85 MiliarCicilan : 8 Jutaan per bulan",321LT : 165 m²LB : 165 m²,https://www.rumah123.com//properti/balikpapan/hos15570069/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-11-24-02-36-07-d00ac21e-38e4-410c-b493-c780d60705b0.png
"Dijual Rumah Siap Huni di Komplek Perumahan Balikpapan Baru, Balikpapan",Rumah,"Rp 1,75 MiliarCicilan : 7 Jutaan per bulan",421LT : 120 m²LB : 136 m²,https://www.rumah123.com//properti/balikpapan/hos15569361/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-11-24-01-19-14-0b1b79da-8ea3-4164-8b38-36547e02c593.jpg
RUKO PINGGIR JALAN DI PERUMAHAN REGENCY BALIKPAPAN,Rumah,"Rp 1,05 MiliarCicilan : 4 Jutaan per bulan",22LT : 57 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos15568993/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15568993/original/hos15568993-rumah-di-jual-di-balikpapan-selatan-balikpapan-1700784271.jpg
"Dijual Cepat Rumah Tengah Kota di Komplek Perumahan Pupuk , Balikpapan",Rumah,"Rp 2,2 MiliarCicilan : 9 Jutaan per bulan",322LT : 374 m²LB : 220 m²,https://www.rumah123.com//properti/balikpapan/hos15505304/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-11-17-06-54-46-c94a390d-b132-4d2e-9eda-8da7bd1cf80a.png
"Dijual Rumah di Komplek Perumahan Balikpapan Baru , Balikpapan",Rumah,"Rp 1,6 MiliarCicilan : 7 Jutaan per bulan",321LT : 170 m²LB : 70 m²,https://www.rumah123.com//properti/balikpapan/hos15504460/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-11-17-06-00-32-21f17b7f-a3a4-43c7-8a4e-ef6ed1c3554f.jpg
BALIKPAPAN  RUMAH MURAH SIAP HUNI,Rumah,Rp 800 JutaCicilan : 3 Jutaan per bulan,32LT : 167 m²LB : 120 m²,https://www.rumah123.com//properti/balikpapan/hos15424618/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15424618/original/hos15424618-rumah-di-jual-di-sepinggan-balikpapan-1699659883.jpg
RUMAH EMPAT KAMAR TIDUR DALAM PERUMAHAN LUAS TENGAH KOTA BALIKPAPAN,Rumah,Rp 830 JutaCicilan : 3 Jutaan per bulan,41LT : 84 m²LB : 115 m²,https://www.rumah123.com//properti/balikpapan/hos15416621/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15416621/original/hos15416621-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699586515.jpg
RUMAH TERAWAT LOKASI STRATEGIS DEKAT AIRPORT (FHS-RM-01),Rumah,Rp 550 JutaCicilan : 2 Jutaan per bulan,22LT : 150 m²LB : 60 m²,https://www.rumah123.com//properti/balikpapan/hos15415688/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15415688/original/hos15415688-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699583510.jpg
RUMAH TERAWAT LOKASI STRATEGIS TENGAH KOTA AKSES DEKAT (FHS-RM-02),Rumah,Rp 425 JutaCicilan : 1 Jutaan per bulan,31LT : 98 m²LB : 85 m²,https://www.rumah123.com//properti/balikpapan/hos15415678/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15415678/original/hos15415678-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699583439.jpg
"RUMAH STRATEGIS BATU AMPAR RUMAH TERAWAT, HALAMAN LUAS, BEBAS BANJIR JALAN DEPAN LEBAR(FHS-RM-03)",Rumah,"Rp 1,5 MiliarCicilan : 6 Jutaan per bulan",32LT : 210 m²LB : 98 m²,https://www.rumah123.com//properti/balikpapan/hos15415665/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15415665/original/hos15415665-rumah-di-jual-di-balikpapan-utara-balikpapan-1699583376.jpg
RUMAH PUSAT KOTA RUMAH PINGGIR JALAN RUMAH DEKAT PASAR BARU (FHS-RM-04),Rumah,Rp 580 JutaCicilan : 2 Jutaan per bulan,31LT : 171 m²LB : 50 m²,https://www.rumah123.com//properti/balikpapan/hos15415572/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15415572/original/hos15415572-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699582824.jpg
RUMAH DI GRAND CITY KAWASAN ELITE(FHS-RM-13),Rumah,"Rp 1,7 MiliarCicilan : 7 Jutaan per bulan",32LT : 126 m²LB : 79 m²,https://www.rumah123.com//properti/balikpapan/hos15415537/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15415537/original/hos15415537-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699582625.jpg
RUMAH DEKAT JALAN BESAR,Rumah,Rp 550 JutaCicilan : 2 Jutaan per bulan,31LT : 166 m²LB : 160 m²,https://www.rumah123.com//properti/balikpapan/hos15415491/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15415491/original/hos15415491-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699582426.jpg
RUMAH HOOK LUAS DALAM PERUMAHAN BALIKPAPAN,Rumah,Rp 675 JutaCicilan : 3 Jutaan per bulan,21LT : 157 m²LB : 36 m²,https://www.rumah123.com//properti/balikpapan/hos15415143/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15415143/original/hos15415143-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699579649.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN TIPE 1 BR,Apartemen,Rp 950 JutaCicilan : 4 Jutaan per bulan,11LB : 41 m²,https://www.rumah123.com//properti/balikpapan/aps3079731/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3079731/original/aps3079731-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1698994895.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN 3 BR,Apartemen,"Rp 2,2 MiliarCicilan : 9 Jutaan per bulan",32LB : 97 m²,https://www.rumah123.com//properti/balikpapan/aps3079469/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3079469/original/aps3079469-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1698990929.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN TYPE 2 BR,Apartemen,"Rp 1,52 MiliarCicilan : 6 Jutaan per bulan",21LB : 65 m²,https://www.rumah123.com//properti/balikpapan/aps3079442/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3079442/original/aps3079442-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1698990140.jpg
HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,Rumah,Rp 935 JutaCicilan : 4 Jutaan per bulan,21LT : 120 m²LB : 50 m²,https://www.rumah123.com//properti/balikpapan/hos15344485/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15344485/original/hos15344485-rumah-di-jual-di-balikpapan-tengah-balikpapan-1698990055.jpg
RUMAH BESAR 2 LANTAI BESERTA ISINYA,Rumah,"Rp 1,45 MiliarCicilan : 6 Jutaan per bulan",42LT : 211 m²LB : 269 m²,https://www.rumah123.com//properti/balikpapan/hos15344466/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15344466/original/hos15344466-rumah-di-jual-di-balikpapan-utara-balikpapan-1698989971.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN TIPE 1 BR,Apartemen,Rp 950 JutaCicilan : 4 Jutaan per bulan,11LB : 41 m²,https://www.rumah123.com//properti/balikpapan/aps3079434/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3079434/original/aps3079434-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1698989613.jpg
HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,Rumah,Rp 680 JutaCicilan : 3 Jutaan per bulan,21LT : 78 m²LB : 42 m²,https://www.rumah123.com//properti/balikpapan/hos15344305/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15344305/original/hos15344305-rumah-di-jual-di-balikpapan-tengah-balikpapan-1698989256.jpg
APARTEMENT BORNEO BAY CITY BALIKPAPAN TYPE STUDIO,Apartemen,Rp 665 JutaCicilan : 3 Jutaan per bulan,11LB : 31 m²,https://www.rumah123.com//properti/balikpapan/aps3079423/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3079423/original/aps3079423-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1698989152.jpg
RUMAH BARU DI TENGAH KOTA DEKAT PERUMAHAN BALIKPAPAN BARU DAN SIAP BANGUN,Rumah,"Rp 1,06 MiliarCicilan : 4 Jutaan per bulan",21LT : 185 m²LB : 36 m²,https://www.rumah123.com//properti/balikpapan/hos15342882/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15342882/original/hos15342882-rumah-di-jual-di-balikpapan-tengah-balikpapan-1698983728.jpg
RUMAH DEKAT PASAR INPRES KEBUN SAYUR,Rumah,Rp 3 MiliarCicilan : 13 Jutaan per bulan,77LT : 600 m²LB : 550 m²,https://www.rumah123.com//properti/balikpapan/hos15340584/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340584/original/hos15340584-rumah-di-jual-di-marga-sari-balikpapan-1698974020.jpg
RUMAH 2 LANTAI SIAP HUNI DI SEPINGGAN  PRATAMA,Rumah,"Rp 1,35 MiliarCicilan : 6 Jutaan per bulan",33LT : 108 m²LB : 141 m²,https://www.rumah123.com//properti/balikpapan/hos15340565/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340565/original/hos15340565-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698973779.jpg
RUMAH MINIMALIS  SIAP HUNI HARGA TERJUN BEBAS DI SEPINGGAN PRATAMA,Rumah,"Rp 1,55 MiliarCicilan : 7 Jutaan per bulan",22LT : 160 m²LB : 144 m²,https://www.rumah123.com//properti/balikpapan/hos15340554/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340554/original/hos15340554-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698973712.jpg
RUMAH MINIMALIS MODERN BERSIH TERAWAT SIAP HUNI DI SEPINGGAN PRATAMA,Rumah,Rp 4 MiliarCicilan : 18 Jutaan per bulan,32LT : 400 m²LB : 160 m²,https://www.rumah123.com//properti/balikpapan/hos15340545/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340545/original/hos15340545-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698973635.jpg
RUMAH BARU MINIMALIS DUA KAMAR TIDUR DALAM PERUMAHAN DI TENGAH KOTA BALIKPAPAN,Rumah,Rp 607 JutaCicilan : 2 Jutaan per bulan,21LT : 72 m²LB : 36 m²,https://www.rumah123.com//properti/balikpapan/hos15340520/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340520/original/hos15340520-rumah-di-jual-di-balikpapan-tengah-balikpapan-1698973379.jpg
Rumah Siap Huni 2 Lantai Full Renovasi dan furnished di Perumahan Wika Balikpapan,Rumah,"Rp 1,45 MiliarCicilan : 6 Jutaan per bulan",53LT : 201 m²LB : 300 m²,https://www.rumah123.com//properti/balikpapan/hos15340500/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340500/original/hos15340500-rumah-di-jual-di-balikpapan-utara-balikpapan-1698973149.jpg
Rumah Minimalist Dekat Rumah Sakit Hermina Balikpapan,Rumah,"Rp 1,5 MiliarCicilan : 6 Jutaan per bulan",322LT : 200 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos15340456/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340456/original/hos15340456-rumah-di-jual-di-balikpapan-utara-balikpapan-1698972644.jpg
Rumah Minimalist Jual Cepat  ditengah kota,Rumah,Rp 850 JutaCicilan : 3 Jutaan per bulan,322LT : 120 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos15263243/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15263243/original/hos15263243-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698376086.jpg
"Dijual Rumah Kantor di Komplek Balikpapan Baru, Balikpapan Selatan Kalimantan Timur",Rumah,"Rp 6,9 MiliarCicilan : 31 Jutaan per bulan",129LT : 295 m²LB : 500 m²,https://www.rumah123.com//properti/balikpapan/hos15263213/,https://picture.rumah123.com/r123-images/720x420-crop/customer/35471/2023-10-27-03-02-01-0af314e4-8cc5-4499-997b-0f69fcfa6c28.png
RUMAH EMPAT KAMAR TIDUR MEWAH LUAS DALAM PERUMAHAN ELITE BALIKPAPAN,Rumah,"Rp 4,5 MiliarCicilan : 20 Jutaan per bulan",44LT : 342 m²LB : 308 m²,https://www.rumah123.com//properti/balikpapan/hos15261249/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15261249/original/hos15261249-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698366775.jpg
Balikpapan di  rumah nyaman di Borneo Paradiso,Rumah,"Rp 1,19 MiliarCicilan : 5 Jutaan per bulan",21LT : 162 m²LB : 70 m²,https://www.rumah123.com//properti/balikpapan/hos15261157/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15261157/original/hos15261157-rumah-di-jual-di-sepinggan-balikpapan-1698365743.jpg
RUMAH BARU RENOVASI SIAP HUNI DI PERUMAHAN DAUN VILLAGE,Rumah,"Rp 1,9 MiliarCicilan : 8 Jutaan per bulan",21LT : 212 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos15190293/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15190293/original/hos15190293-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697793309.jpg
RUMAH STRATEGIS DI PERUMAHAN DAUN VILLAGE,Rumah,Rp 930 JutaCicilan : 4 Jutaan per bulan,32LT : 80 m²LB : 112 m²,https://www.rumah123.com//properti/balikpapan/hos15185038/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15185038/original/hos15185038-rumah-di-jual-di-balikpapan-utara-balikpapan-1697783720.jpg
Dijual Rumah di Poka Pondok Katrya Agung Loakasi Tengah Kota Balikpapan,Rumah,"Rp 1,3 MiliarCicilan : 5 Jutaan per bulan",53LT : 450 m²LB : 250 m²,https://www.rumah123.com//properti/balikpapan/hos15179758/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-10-20-01-25-07-4c6fb532-9b88-4d1f-aed8-352313b43dcb.jpg
RUMAH  SIAP HUNI 2 LANTAI DEPAN JALAN UTAMA PERUMAHAN DENGAN HARGA MIRING,Rumah,"Rp 1,1 MiliarCicilan : 5 Jutaan per bulan",43LT : 170 m²LB : 200 m²,https://www.rumah123.com//properti/balikpapan/hos15111787/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15111787/original/hos15111787-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697178802.jpg
"RUMAH HOOK SIAP HUNI DENGAN LOKASI AMAN, NYAMAN DAN BEBAS BANJIR SERTA DEKAT DENGAN BANDARA",Rumah,"Rp 1,4 MiliarCicilan : 6 Jutaan per bulan",43LT : 287 m²LB : 184 m²,https://www.rumah123.com//properti/balikpapan/hos15110913/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15110913/original/hos15110913-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697174166.jpg
BALIKPAPAN KOST KOSTAN TENGAH KOTA,Rumah,"Rp 1,25 MiliarCicilan : 5 Jutaan per bulan",88LT : 217 m²LB : 217 m²,https://www.rumah123.com//properti/balikpapan/hos15100218/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15100218/original/hos15100218-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1697164570.jpg
SEGERA PERUM CITRA BUKIT INDAH,Rumah,"Rp 4,5 MiliarCicilan : 20 Jutaan per bulan",41LT : 356 m²LB : 199 m²,https://www.rumah123.com//properti/balikpapan/hos15099025/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15099025/original/hos15099025-rumah-di-jual-di-damai-balikpapan-1697159208.jpg
RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,Rumah,"Rp 1,9 MiliarCicilan : 8 Jutaan per bulan",54LT : 214 m²LB : 300 m²,https://www.rumah123.com//properti/balikpapan/hos15028298/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15028298/original/hos15028298-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696579698.jpg
GUNUNG GUNTUR,Rumah,Rp 550 JutaCicilan : 2 Jutaan per bulan,21LT : 78 m²LB : 40 m²,https://www.rumah123.com//properti/balikpapan/hos15023584/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023584/original/hos15023584-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1696574577.jpg
BALIKPAPAN REGENCY,Rumah,Rp 500 JutaCicilan : 2 Jutaan per bulan,21LT : 96 m²LB : 96 m²,https://www.rumah123.com//properti/balikpapan/hos15023557/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023557/original/hos15023557-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574459.jpg
PERUM GRIYA PERMATA ASRI,Rumah,Rp 900 JutaCicilan : 4 Jutaan per bulan,31LT : 200 m²LB : 120 m²,https://www.rumah123.com//properti/balikpapan/hos15023529/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023529/original/hos15023529-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574342.jpg
RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,Rumah,Rp 750 JutaCicilan : 3 Jutaan per bulan,21LT : 120 m²LB : 60 m²,https://www.rumah123.com//properti/balikpapan/hos15020396/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15020396/original/hos15020396-rumah-di-jual-di-balikpapan-utara-balikpapan-1696559158.jpg
turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rumah,Rp 925 JutaCicilan : 4 Jutaan per bulan,21LT : 90 m²LB : 60 m²,https://www.rumah123.com//properti/balikpapan/hos15019674/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15019674/original/hos15019674-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696552325.jpg
RUMAH BAGUS DI CITRA BUKIT INDAH GREEN VILLE KOTA BALIK PAPAN KALTIM,Rumah,"Rp 1,7 MiliarCicilan : 7 Jutaan per bulan",32LT : 191 m²LB : 215 m²,https://www.rumah123.com//properti/balikpapan/hos14944734/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14944734/original/hos14944734-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695956871.jpg
BALIKPAPAN RUMAH WIKA 3 KAMAR TIDUR (LM330),Rumah,Rp 850 JutaCicilan : 3 Jutaan per bulan,32LT : 120 m²LB : 90 m²,https://www.rumah123.com//properti/balikpapan/hos14943300/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-04-09-08-19-36c80eaf-7063-42d8-8868-8bfcfe95ed6b.jpg
330 Balikpapan Taman Sari Bukit Mutiara Rumah Wika 3 Kamar Tidur,Rumah,Rp 875 JutaCicilan : 3 Jutaan per bulan,32LT : 120 m²LB : 90 m²,https://www.rumah123.com//properti/balikpapan/hos14943299/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-02-08-5a0d6fcd-fd26-4cd6-bd71-9582b026f27d.jpg
Hunian Dikawasan Sekolahan Islam Terpadu,Rumah,"Rp 1,9 MiliarCicilan : 8 Jutaan per bulan",312LT : 195 m²LB : 130 m²,https://www.rumah123.com//properti/balikpapan/hos14873357/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14873357/original/hos14873357-rumah-di-jual-di-balikpapan-baru-balikpapan-1695369231.jpg
Hunian Cantik dan terawat. Dikota balikpapan,Rumah,Rp 670 JutaCicilan : 3 Jutaan per bulan,312LT : 142 m²LB : 120 m²,https://www.rumah123.com//properti/balikpapan/hos14872466/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872466/original/hos14872466-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695367001.jpg
Rumah Tengah Kota Di Balikpapan Utara,Rumah,"Rp 2,5 MiliarCicilan : 11 Jutaan per bulan",65LT : 311 m²LB : 500 m²,https://www.rumah123.com//properti/balikpapan/hos14872216/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872216/original/hos14872216-rumah-di-jual-di-balikpapan-utara-balikpapan-1700025104.jpg
Rumah Siap Huni Full Furniture Di Balikpapan Tengah,Rumah,"Rp 1,1 MiliarCicilan : 5 Jutaan per bulan",43LT : 204 m²LB : 204 m²,https://www.rumah123.com//properti/balikpapan/hos14872178/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872178/original/hos14872178-rumah-di-jual-di-balikpapan-tengah-balikpapan-1700025105.jpg
RUMAH BESAR DI PERUMAHAN WIKA,Rumah,"Rp 2,8 MiliarCicilan : 12 Jutaan per bulan",43LT : 311 m²LB : 225 m²,https://www.rumah123.com//properti/balikpapan/hos14864111/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14864111/original/hos14864111-rumah-di-jual-di-balikpapan-utara-balikpapan-1695345468.jpg
BALIKPAPAN PERUMAHAN REGENCY,Rumah,Rp 800 JutaCicilan : 3 Jutaan per bulan,42LT : 84 m²LB : 120 m²,https://www.rumah123.com//properti/balikpapan/hos14863499/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14863499/original/hos14863499-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695342000.jpg
Rumah dihook  di perumahan wisata manggar,Rumah,Rp 750 JutaCicilan : 3 Jutaan per bulan,322LT : 130 m²LB : 130 m²,https://www.rumah123.com//properti/balikpapan/hos14797182/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14797182/original/hos14797182-rumah-di-jual-di-manggar-balikpapan-1694816774.jpg
BALIKPAPAN PERUMAHAN BUKIT AMSCO,Rumah,"Rp 1,3 MiliarCicilan : 5 Jutaan per bulan",32LT : 180 m²LB : 150 m²,https://www.rumah123.com//properti/balikpapan/hos14797180/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14797180/original/hos14797180-rumah-di-jual-di-balikpapan-selatan-balikpapan-1694816702.jpg
Perfect gate away wooden villa pantai Lamaru,Rumah,"Rp 1,5 MiliarCicilan : 6 Jutaan per bulan",22LT : 238 m²LB : 70 m²,https://www.rumah123.com//properti/balikpapan/hos14783889/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14783889/original/hos14783889-rumah-di-jual-di-balikpapan-timur-di-balikpapan-16947320970732.jpg
"BALIKPAPAN RUMAH 1 LANTAI DI PERUMAHAN ADIGUNA KM 5,5 KARIANGAU (LM307)",Rumah,Rp 485 JutaCicilan : 2 Jutaan per bulan,32LT : 120 m²LB : 110 m²,https://www.rumah123.com//properti/balikpapan/hos14656412/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-04-07-43-39-75ebadf8-63b0-4ee3-9df7-4d59eea51c99.jpg
"307 Balikpapan Perumahan Adiguna Rumah 1 Lantai Km 5,5 Kariangau ",Rumah,Rp 485 JutaCicilan : 2 Jutaan per bulan,32LT : 120 m²LB : 110 m²,https://www.rumah123.com//properti/balikpapan/hos14656411/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-28-22-75e2668c-b43e-47c0-ad1e-c5d279661127.jpg
BALIKPAPAN RUMAH CANTIK SIAP HUNI DI KP TIMUR (LM303),Rumah,Rp 500 JutaCicilan : 2 Jutaan per bulan,21LT : 90 m²LB : 45 m²,https://www.rumah123.com//properti/balikpapan/hos14656387/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-04-07-56-59-983212b2-49c3-45e6-9449-0bf8ce5a4ce2.jpg
303 Balikpapan Kampung Timur Rumah Cantik Siap Huni,Rumah,Rp 500 JutaCicilan : 2 Jutaan per bulan,21LT : 90 m²LB : 45 m²,https://www.rumah123.com//properti/balikpapan/hos14656386/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-38-19-1d82b501-660d-4deb-ad00-deb0772d701d.jpg
