,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1001,RUMAH HOOK BISA UNTUK TEMPAT USAHA,Rp 450 Juta,"Balikpapan Timur, Balikpapan",4,2,74 m²,74 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1002,RUMAH TINGKAT TERAWAT,Rp 875 Juta,"Batu Ampar, Balikpapan",3,4,170 m²,170 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
1003,RUMAH ELIT DUA LANTAI DI PERUMAHAN CIPUTRA,"Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,500 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1004,RUMAH STRATEGIS DI KAWASAN PERUMAHAN BUKIT DAMAI INDAH,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",4,2,144 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1005,RUMAH BALIKPAPAN BORNEO PARADISO DEKAT PINTU TOL MANGGAR LUAS 4KT,"Rp 1,2 Miliar","Balikpapan Timur, Balikpapan",4,3,180 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1006,RUMAH BALIKPAPAN TIMUR BORNEO PARADISO BATAKAN DEKAT PINTU TOL (RE16),Rp 595 Juta,"Balikpapan Timur, Balikpapan",2,1,108 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1007,"BALIKPAPAN , PASAR BARU (Y174) KOS2AN DITENGAH KOTA BALIKPAPAN","Rp 7,5 Miliar","Klandasan Ilir, Balikpapan",5,3,644 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,19,,,,,,,,,,,,Dijual
1008,PERUMAHAN ELITE SIAP HUNI,"Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",2,2,160 m²,135 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1009,DI JUAL RUMAH MEWAH DI KAWASAN PERUMAHAN MULAWARMAN,Rp 10 Miliar,"Sepinggan, Balikpapan",4,5,826 m²,998 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1010,HARGA BERSAING SIAP HUNI MODEL KLASIK,Rp 650 Juta,"Balikpapan Selatan, Balikpapan",4,3,150 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
