,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
13,"BALIKPAPAN, RUMAH STRATEGIS DAN NYAMAN DI RUHUI RAHAYU",https://www.rumah123.com//properti/balikpapan/hos15773109/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15773109/original/hos15773109-rumah-di-jual-di-balikpapan-selatan-balikpapan-1702451390.jpg,"BALIKPAPAN, RUMAH STRATEGIS DAN NYAMAN DI RUHUI RAHAYU","Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",3,2,134 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
14,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos15344485/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15344485/original/hos15344485-rumah-di-jual-di-balikpapan-tengah-balikpapan-1698990055.jpg,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,Rp 935 Juta,"Balikpapan Tengah, Balikpapan",2,1,120 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
15,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos15380057/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15380057/original/hos15380057-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699334588.jpg,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,Rp 935 Juta,"Balikpapan Tengah, Balikpapan",2,1,120 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
16,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,https://www.rumah123.com//properti/balikpapan/hos15344305/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15344305/original/hos15344305-rumah-di-jual-di-balikpapan-tengah-balikpapan-1698989256.jpg,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,Rp 680 Juta,"Balikpapan Tengah, Balikpapan",2,1,78 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
17,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,https://www.rumah123.com//properti/balikpapan/hos15380067/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15380067/original/hos15380067-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699334654.jpg,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,Rp 680 Juta,"Balikpapan Tengah, Balikpapan",2,1,78 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
18,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15028298/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15028298/original/hos15028298-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696579698.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
19,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15028298/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15028298/original/hos15028298-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696579698.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
20,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15688410/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15688410/original/hos15688410-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701821809.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
21,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15688410/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15688410/original/hos15688410-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701821809.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
22,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15688411/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15688411/original/hos15688411-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701821810.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
