Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1174,RUMAH LUAS DUA LANTAI DI BOULEVARD PERUMAHAN ELITE BALIKPAPAN,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos12071617/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12071617/original/hos12071617-rumah-di-jual-di-balikpapan-utara-balikpapan-1670820093.jpg,3.0,2.0,200 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,,,,,,,,,,,Dijual
1175,RUMAH MURAH LUAS DALAM PERUMAHAN RAMAI PADAT PENDUDUK BALIKPAPAN,Rp 440 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11934073/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11934073/original/hos11934073-rumah-di-jual-di-balikpapan-utara-balikpapan-1669615475.jpg,2.0,1.0,120 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1176,"Rumah minimalis yg cantik dan bersih, terawat, dan nyaman",Rp 1 Miliar,"Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11852623/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11852623/original/hos11852623-rumah-di-jual-di-sepinggan-balikpapan-1669005463.jpg,2.0,1.0,144 m²,140 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,Pemukiman Warga,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
1177,RUMAH MINIMALIS TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 1,6 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11850986/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11850986/original/hos11850986-rumah-di-jual-di-balikpapan-baru-balikpapan-1668995711.jpg,3.0,2.0,96 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1178,RUMAH CANTIK EMPAT KAMAR TIDUR DALAM CLUSTER PERUMAHAN  BALIKPAPAN,"Rp 1,55 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11850589/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11850589/original/hos11850589-rumah-di-jual-di-balikpapan-utara-balikpapan-1668993463.jpg,4.0,3.0,186 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1179,RUMAH LUAS MURAH COCOK UNTUK USAHA DI DAERAH RAMAI STRATEGIS BALIKPAPAN,"Rp 1,53 Miliar","Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11790976/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11790976/original/hos11790976-rumah-di-jual-di-sepinggan-balikpapan-1668430747.jpg,8.0,3.0,380 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
1180,RUMAH BESAR DENGAN TANAH LUAS DALAM CLUSTER PERUMAHAN ELITE BALIKPAPAN,Rp 5 Miliar,"Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11780036/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11780036/original/hos11780036-rumah-di-jual-di-balikpapan-baru-balikpapan-1668393548.jpg,3.0,3.0,400 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,13200 Watt,2.0,,,,,,,,,,,,Dijual
1181,"Daun Vilage,Sebelah Trans Studio Mini Balikpapan","Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11704371/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1729095/2022-11-07-11-31-33-288b484c-8e8a-4bb5-8781-91654dae28e4.jpg,3.0,1.0,136 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1.0,Ya,Ya,,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
1182,RUMAH ASRI SATU LANTAI DI KAWASAN PERUMAHAN BALIKPAPAN BARU,"Rp 1,7 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11702664/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11702664/original/hos11702664-rumah-di-jual-di-balikpapan-baru-balikpapan-1679986674.jpg,3.0,2.0,240 m²,170 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1183,RUMAH BESAR DENGAN TANAH LUAS DALAM CLUSTER PERUMAHAN ELITE BALIKPAPAN,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11702011/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11702011/original/hos11702011-rumah-di-jual-di-balikpapan-baru-balikpapan-1667813777.jpg,3.0,3.0,400 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2.0,,,,,,,,,,,,Dijual
1184,"Rumah Minimalis Tanah Luas di Bdi , Harga Bersahabat","Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11697784/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1730302/2022-11-07-07-05-05-9e415630-2cb0-49d9-ae9c-28b694e9961e.jpg,,,216 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1.0,,Tidak,,PAM atau PDAM,Tidak,,Dijual
1185,GUNUNG GUNTUR,Rp 550 Juta,"Gn. Sari Ilir, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11693717/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693717/original/hos11693717-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1667786430.jpg,2.0,1.0,78 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1186,PERUM BUKIT MUTIARA,Rp 650 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11693703/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693703/original/hos11693703-rumah-di-jual-di-balikpapan-utara-balikpapan-1667786273.jpg,2.0,2.0,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1187,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11693695/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693695/original/hos11693695-rumah-di-jual-di-balikpapan-selatan-balikpapan-1667786196.jpg,3.0,1.0,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
