,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
501,RUMAH LUAS MEWAH DENGAN KOLAM RENANG DALAM KAWASAN RUMAH ELITE BALIKPAPAN,"Rp 9,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,670 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,13200 Watt,3,,,,,,,,,,,,Dijual
502,Rumah Jalan Siaga Balikpapan.,"Rp 2,8 Miliar","Balikpapan Kota, Balikpapan",,,320 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,,1,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
503,Rumah ellite full furnish di tengah kota,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",4,4,186 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
504,RUMAH BDI,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",4,3,180 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
505,RUMAH LUAS MEWAH DEPAN TAMAN DAN LAPANGAN BASKET DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 9,5 Miliar","Balikpapan Baru, Balikpapan",4,4,396 m²,289 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2,,,,,,,,,,,,Dijual
506,Rumah Konsep Elegant Dan Dihook Dekat Terminal Bus ,Rp 1 Miliar,"Balikpapan Utara, Balikpapan",2,2,135 m²,135 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
507,RUMAH MINIMALIS COCOK UNTUK USAHA  DI JLN  MAYJEN SUTOYO COCOK UNTUK USAHA,"Rp 2,5 Miliar","Klandasan Ilir, Balikpapan",6,2,128 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
508,RUMAH HOOK LUAS MEWAH DALAM PERUMAHAN ELITE BALIKPAPAN,Rp 4 Miliar,"Balikpapan Baru, Balikpapan",4,4,296 m²,245 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,3,,,,,,,,,,,,Dijual
509,MINIMALIS MODERN TERAWAT DALAM KOMPLEK ONE GATE SYSTEM,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",3,3,220 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
510,TERMURAH JARANG ADA RUMAH POSISI HOOK,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",2,1,144 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
