,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1101,BALIKPAPAN RUMAH BARU MINIMALIS 2 LANTAI GRAND CITY (LM123),Rp 975 Juta,"Balikpapan Utara, Balikpapan",2,2,60 m²,47 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1102,123 Balikpapan Grand City Rumah Baru Minimalis 2 Lantai,"Rp 1,25 Miliar","Balikpapan Utara, Balikpapan",2,2,60 m²,47 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1103,rumah minimalis kawasan perumahan polisi,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
1104,SMART HOME SISTEM GRAND CITY BALIKPAPAN DP HANYA 10 JUTAAN,Rp 970 Juta,"Balikpapan Utara, Balikpapan",2,2,60 m²,47 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Baru,Dijual
1105,BALIKPAPAN RUMAH 2 LANTAI DI KAWASAN ELIT GRAND CITY (LM321),"Rp 3,37 Miliar","Balikpapan Utara, Balikpapan",3,3,220 m²,190 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1106,321 Balikpapan Gran City Rumah 2 Lantai Di Kawasan Elite,"Rp 3,37 Miliar","Balikpapan Utara, Balikpapan",3,3,220 m²,190 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1107,Rumah Asri Balikpapan Strategis Dekat Polda dan Bandara 005PKR,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",2,1,84 m²,42 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
1108,RUMAH MINIMALIS 2 LANTAI SIAP HUNI DENGAN ROOFTOP DI BAGIAN ATAS LOKASI AMAN DAN NYAMAN,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",4,4,160 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1109,RUMAH MINIMALIS 2 LANTAI BEBAS BANJIR DI CASTARIKA,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",4,4,160 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1110,BALIKPAPAN RUMAH MEWAH DENGAN FULLL FURNISHED BARU DI GRAND CITY (LM323),"Rp 3,95 Miliar","Balikpapan Utara, Balikpapan",3,3,180 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1111,323 Balikpapan Grand City Rumah Mewah Dengan Fulll Furnished Baru,"Rp 3,95 Miliar","Balikpapan Utara, Balikpapan",3,3,180 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1112,RUMAH 2 LANTAI  BERSIH TERAWAT DI PERUMAHAN REGENCY,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",3,2,249 m²,65 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
1113,272 Balikpapan Baru Rumah 2 Lantai Non Furnish Padat Penduduk,"Rp 3,5 Miliar","Balikpapan Selatan, Balikpapan",5,3,330 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1114,BALIKPAPAN RUMAH 2 LANTAI NON FURNISH DI AREA PADAT PENDUDUK (LM272),"Rp 3,1 Miliar","Balikpapan Selatan, Balikpapan",5,3,389 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1115,rumah minimalis hoek halaman luas,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",,,270 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Ya,Bagus,Dijual
1116,RUMAH 2 LANTAI  TERAWAT BERSIH SIAP HUNI,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,152 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,7600 Watt,,,,,,,,,,,,,Dijual
1117,RUMAH MINIMALIS 1 LANTAI SIAP HUNI DI PERUMAHAN WIKA  NYAMAN ASRI UNTUK DI HUNI,Rp 850 Juta,"Gn. Samarinda, Balikpapan",2,2,90 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1118,RUMAH HOOK DENGAN FASILITAS LENGKAP DENGAN LOKASI NYAMAN AMAN DITENGAH KOTA,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",4,5,319 m²,319 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1119,BALIKPAPAN RUMAH BARU JADI DI PERUMAHAN CASA KARIANGAU PROJAKAL (LM312),Rp 450 Juta,"Balikpapan Utara, Balikpapan",2,1,120 m²,45 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1120,312 Balikpapan Kariangau Rumah Baru Jadi Di Perumahan Casa,Rp 450 Juta,"Balikpapan Utara, Balikpapan",2,1,120 m²,45 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1121,rumah plus toko dekat bandara international dan rekreasi,Rp 950 Juta,"Balikpapan Selatan, Balikpapan",4,2,330 m²,270 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,3 Mobil,,Tidak,Bagus,Dijual
