,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
0,RUMAH HOOK EMPAT KAMAR TIDUR DALAM PERUMAHAN BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos14975019/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14975019/original/hos14975019-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696236249.jpg,RUMAH HOOK EMPAT KAMAR TIDUR DALAM PERUMAHAN BALIKPAPAN,Rp 975 Juta,"Balikpapan Selatan, Balikpapan",4,2,163 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1,RUMAH HOOK EMPAT KAMAR TIDUR DALAM PERUMAHAN BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos10087129/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10087129/original/hos10087129-rumah-di-jual-di-balikpapan-selatan-balikpapan-1650088224.jpg,RUMAH HOOK EMPAT KAMAR TIDUR DALAM PERUMAHAN BALIKPAPAN,Rp 975 Juta,"Balikpapan Selatan, Balikpapan",4,2,163 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
2,RUMAH LUAS DUA LANTAI DI BOULEVARD PERUMAHAN ELITE BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos12071617/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12071617/original/hos12071617-rumah-di-jual-di-balikpapan-utara-balikpapan-1670820093.jpg,RUMAH LUAS DUA LANTAI DI BOULEVARD PERUMAHAN ELITE BALIKPAPAN,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",3,2,200 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
3,RUMAH LUAS DUA LANTAI DI BOULEVARD PERUMAHAN ELITE BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos11591699/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11591699/original/hos11591699-rumah-di-jual-di-balikpapan-utara-balikpapan-1667008116.jpg,RUMAH LUAS DUA LANTAI DI BOULEVARD PERUMAHAN ELITE BALIKPAPAN,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",3,2,200 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
4,Rumah siap Tempati,https://www.rumah123.com//properti/balikpapan/hos13973403/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1729095/2023-06-10-12-16-18-9351af8e-8d2a-4a80-9320-67ae459557ca.jpg,Rumah siap Tempati,Rp 300 Juta,"Balikpapan Timur, Balikpapan",,,112 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,1,,Tidak,,Sumur Bor,Ya,Baru,Dijual
5,"RUMAH PREMIUM GOLF VIEW RESIDENCE DI PUPUK TIMUR, BALIKPAPAN",https://www.rumah123.com//properti/balikpapan/hos13968612/,https://picture.rumah123.com/r123/720x420-crop/house/ho13/13968612/original/hos13968612-rumah-di-jual-di-balikpapan-selatan-balikpapan-1686361678.jpg,"RUMAH PREMIUM GOLF VIEW RESIDENCE DI PUPUK TIMUR, BALIKPAPAN","Rp 2,26 Miliar","Balikpapan Selatan, Balikpapan",3,3,133 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,Unfurnished,2,Perkotaan,Tidak,2 Mobil,,Tidak,Baru,Dijual
6,Rumah minimalis modern dekat bandara internasional Sepinggan ,https://www.rumah123.com//properti/balikpapan/hos13910084/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1655652/2023-06-03-10-29-18-655a0914-725a-4aad-8418-12e003d9883d.jpg,Rumah minimalis modern dekat bandara internasional Sepinggan ,"Rp 1,75 Miliar","Sepinggan, Balikpapan",3,2,135 m²,145 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Semi Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
7,Rumah minimalis  tinggal masuk badan dikawasan  perumahan elite,https://www.rumah123.com//properti/balikpapan/hos13909557/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1655652/2023-06-03-09-27-35-1e308e72-a38f-47c9-8549-7417a4a189fb.jpg,Rumah minimalis  tinggal masuk badan dikawasan  perumahan elite,"Rp 2,15 Miliar","Balikpapan Selatan, Balikpapan",3,3,207 m²,160 m²,1,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
8,Rumah cantik & bersih plus toko di area perumahan millenial ,https://www.rumah123.com//properti/balikpapan/hos13767453/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1655652/2023-05-20-14-30-14-8c5c795a-77b1-4e8c-95cf-cb2cc0b0e9ff.jpg,Rumah cantik & bersih plus toko di area perumahan millenial ,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",2,3,150 m²,450 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,,3,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
9,2 unit rumah cantik ditengah kota balikpapan ,https://www.rumah123.com//properti/balikpapan/hos13765424/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1655652/2023-05-20-10-28-15-7d88bac3-283d-40af-9e7e-687350d5428c.jpg,2 unit rumah cantik ditengah kota balikpapan ,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,1,45 m²,91 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
10,Rumah+gudang+kantor dipinggir jalan besar,https://www.rumah123.com//properti/balikpapan/hos13765664/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1655652/2023-05-20-10-56-45-345d06e7-1da2-4f17-b78a-d653c441e8fe.jpg,Rumah+gudang+kantor dipinggir jalan besar,"Rp 9,2 Miliar","Balikpapan Utara, Balikpapan",3,5,1320 m²,839 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Ya,Ya,Semi Furnished,1,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
11,RUMAH BESERTA KOST-KOSTAN,https://www.rumah123.com//properti/balikpapan/hos13756548/,https://picture.rumah123.com/r123/720x420-crop/house/ho13/13756548/original/hos13756548-rumah-di-jual-di-balikpapan-selatan-balikpapan-1684543241.jpg,RUMAH BESERTA KOST-KOSTAN,Rp 2 Miliar,"Balikpapan Selatan, Balikpapan",12,11,406 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
12,RUMAH DI BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos13756486/,https://picture.rumah123.com/r123/720x420-crop/house/ho13/13756486/original/hos13756486-rumah-di-jual-di-balikpapan-selatan-balikpapan-1684542244.jpg,RUMAH DI BALIKPAPAN REGENCY,Rp 675 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
13,RUMAH MEWAH BALIKPAPAN BARU DUA LANTAI,https://www.rumah123.com//properti/balikpapan/hos13611300/,https://picture.rumah123.com/r123/720x420-crop/house/ho13/13611300/original/hos13611300-rumah-di-jual-di-balikpapan-selatan-balikpapan-1683334481.jpg,RUMAH MEWAH BALIKPAPAN BARU DUA LANTAI,Rp 6 Miliar,"Balikpapan Selatan, Balikpapan",4,4,360 m²,360 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
14,PERUMAHAN PESONA KHATULISTIWA,https://www.rumah123.com//properti/balikpapan/hos13611061/,https://picture.rumah123.com/r123/720x420-crop/house/ho13/13611061/original/hos13611061-rumah-di-jual-di-balikpapan-tengah-balikpapan-1683332518.jpg,PERUMAHAN PESONA KHATULISTIWA,Rp 585 Juta,"Balikpapan Tengah, Balikpapan",2,1,72 m²,36 m²,,Rumah,HGB - Hak Guna Bangunan,5500 Watt,,,,,,,,,,,,,Dijual
15,RUMAH DICITRA BUKIT INDAH CIPUTRA,https://www.rumah123.com//properti/balikpapan/hos13611046/,https://picture.rumah123.com/r123/720x420-crop/house/ho13/13611046/original/hos13611046-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699080800.jpg,RUMAH DICITRA BUKIT INDAH CIPUTRA,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,90 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
16,Dijual Rumah Lokasi Startegis Tengah Kota Posiis Hook di Pupuk,https://www.rumah123.com//properti/balikpapan/hos13550011/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-04-29-13-51-50-01eb6558-5be0-4fdc-9c99-3d6f774bb9e6.png,Dijual Rumah Lokasi Startegis Tengah Kota Posiis Hook di Pupuk,"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",4,1,216 m²,90 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Ya,,Dijual
