,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1052,Hunian Mewah di perumahan mewah Balikpapan Baru,"Rp 7,5 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15812008/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15812008/original/hos15812008-rumah-di-jual-di-balikpapan-baru-balikpapan-1702871513.jpg,6,6,612 m²,289 m²,4,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2,,Ya,Ya,Unfurnished,,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1053,RUMAH HOOK HOMY TERAWAT BARU RENOVASI DALAM PERUMAHAN BESAR BALIKPAPAN,"Rp 1,88 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15811857/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15811857/original/hos15811857-rumah-di-jual-di-balikpapan-utara-balikpapan-1702870881.jpg,4,2,206 m²,139 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
1054,Rumah Minimalis Di Perumahan  Wika  balikpapan ,Rp 950 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15810007/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15810007/original/hos15810007-rumah-di-jual-di-balikpapan-utara-balikpapan-1702858080.jpg,2,2,120 m²,110 m²,3,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1055,House view lautan and city Balikpapan.  ,"Rp 1,95 Miliar","Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15809995/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15809995/original/hos15809995-rumah-di-jual-di-sepinggan-balikpapan-1702857719.jpg,3,2,136 m²,190 m²,4,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Ya,Ya,Semi Furnished,,Pantai,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
1056,"BALIKPAPAN, RUMAH CANTIK DAN NYAMAN DI KILO 10",Rp 750 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15751096/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15751096/original/hos15751096-rumah-di-jual-di-balikpapan-utara-balikpapan-1702279903.jpg,3,3,144 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
1057,Rumah Siap Huni (AL003),"Rp 3,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15748853/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1838631/2023-12-11-04-25-27-8cd1355a-c030-438b-a7b1-ed9359d4bfbe.jpg,4,4,160 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Ya,Ya,Furnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1058,BALIKPAPAN PERUMAHAN REGENCY,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15746342/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15746342/original/hos15746342-rumah-di-jual-di-balikpapan-selatan-balikpapan-1702254021.jpg,2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1059,Hunian Nyaman di Perumahan Villa Damai,"Rp 1,15 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15746337/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15746337/original/hos15746337-rumah-di-jual-di-balikpapan-selatan-balikpapan-1702253867.jpg,3,2,151 m²,79 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual
1060,Kos-kosan di Marthadinata,"Rp 2,2 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15675967/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1641896/2023-12-04-23-16-15-dfa27c2d-6992-45a0-bed7-dbdc34562ebb.jpg,,,469 m²,520 m²,,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,,,Tidak,Tidak,,1,,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
1061,Rumah istimewa Balikpapan Baru,"Rp 3,9 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15673436/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2023-12-04-11-32-57-866f79b2-8582-4d88-b82c-d5390fcdd2fa.jpg,3,2,235 m²,170 m²,3,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Ya,Ya,Semi Furnished,2,Perkotaan,Ya,2 Mobil,Sumur Galian,Ya,Sudah Renovasi,Dijual
1062,Rumah Minimalis Lokasi Strategis,Rp 650 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15619588/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-12-03-05-06-18-50a100ce-e818-4da9-88e8-be57862a6002.png,3,2,72 m²,54 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Tidak,Ya,Unfurnished,1,Pemukiman Warga,Ya,,Sumur Bor,Tidak,Bagus,Dijual
1063,"RUMAH BESAR DAN LUAS LOKASI NYAMAN, AMAN DAN TENANG","Rp 2,42 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15664936/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15664936/original/hos15664936-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701655354.jpg,4,3,354 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1064,di Perumahan Rengganis,"Rp 3,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15664795/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1641896/2023-12-04-01-47-04-6988b897-c412-4ced-b943-682c807edabc.jpg,,,300 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,10000 Watt,,,Tidak,Tidak,,1,,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
1065,RUMAH MURAH SATU LANTAI DI KAWASAN SUMBER REJO,Rp 650 Juta,"Sumber Rejo, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15664660/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15664660/original/hos15664660-rumah-di-jual-di-sumber-rejo-balikpapan-1701653437.jpg,2,1,96 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1066,Hunian Dihook di Perumahan Balikpapan Baru,"Rp 1,65 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15664366/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15664366/original/hos15664366-rumah-di-jual-di-balikpapan-baru-balikpapan-1701648606.jpg,3,2,216 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
