Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
10,Rumah 230 Meter Jalan Raya Dekat Fasilitas Pendidikan,Rp 690 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16027810/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-12-07-17-45-dff2851e-af04-47d0-a592-8a82562c25e5.png,3.0,2.0,144 m²,60 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1.0,Tidak,Ya,Unfurnished,1.0,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
11,Rumah Cluster Minimalis Modern 200 Meter Jalan Raya,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14219752/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-07-13-05-02-04-27d407af-3eac-4d76-8133-c59affab6d05.jpg,2.0,1.0,93 m²,57 m²,1.0,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1.0,Ya,Ya,Unfurnished,1.0,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
12,Rumah Minimalis Type 36 Balikpapan Utara,Rp 350 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14046437/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-23-08-16-38-c6699404-276c-4ecf-8c93-226841525756.png,2.0,1.0,120 m²,36 m²,1.0,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Ya,Unfurnished,1.0,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
13,"RUMAH CANTIK MINIMALIS SIAP HUNI,DALAM PERUMAHAN DEKAT AKSES IKN",Rp 500 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15500483/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15500483/original/hos15500483-rumah-di-jual-di-balikpapan-utara-balikpapan-1700185326.jpg,2.0,2.0,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
14,Dijual Rumah Lux 1 Lantai Full Furnished Dengan Kolam Renang ,"Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14565715/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-23-11-11-30-58c7ed6c-55c5-4503-ae21-32825d8c1294.jpg,3.0,3.0,500 m²,350 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1.0,1.0,Ya,Ya,,1.0,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
15,"BALIKPAPAN, PERUMAHAN ROYAL RECIDENT",Rp 500 Juta,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15619217/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15619217/original/hos15619217-rumah-di-jual-di-balikpapan-timur-balikpapan-1701236848.jpg,2.0,1.0,75 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
16,1087. Dijual rumah murah di Perumahan Balikpapan Baru Kalimantan,"Rp 6,5 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10940912/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10940912/original/hos10940912-rumah-di-jual-di-balikpapan-baru-balikpapan-1661351102.jpg,12.0,10.0,719 m²,800 m²,,Rumah,SHM - Sertifikat Hak Milik,,,1.0,Tidak,Tidak,Unfurnished,2.0,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
17,BALIKPAPAN PERUMAHAN KORPRI PRAJA RINGROAD,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15434613/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15434613/original/hos15434613-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699783043.jpg,3.0,2.0,150 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
18,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,"Rp 2,7 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15778980/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15778980/original/hos15778980-rumah-di-jual-di-balikpapan-baru-balikpapan-1702513367.jpg,4.0,3.0,320 m²,155 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
19,RUMAH/VILLA/COTAGE /KEBUN  BUAH SANGAT LUAS,Rp 1 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos2055938/,https://picture.rumah123.com/r123/720x420-crop/house/ho20/2055938/original/hos2055938-rumah-di-jual-di-balikpapan-utara-balikpapan-16038571967611.jpg,10.0,6.0,52630 m²,1000 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,1.0,,Tidak,,PAM atau PDAM,Tidak,,Dijual
20,RUMAH DENGAN BANGUNAN BARU DI PERUMAHAN GRAND CITY,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16251141/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16251141/original/hos16251141-rumah-di-jual-di-balikpapan-utara-balikpapan-1706833796.jpg,3.0,2.0,216 m²,172 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
21,RUMAH SIAP TINGGAL LOKASI STRATEGIS TENGAH KOTA,Rp 750 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16251118/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16251118/original/hos16251118-rumah-di-jual-di-balikpapan-selatan-balikpapan-1706833410.jpg,3.0,2.0,150 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
22,RUMAH MEWAH 2 LANTAI SIAP HUNI DI PINEVILLE GRAND CITY,"Rp 3,95 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16180116/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16180116/original/hos16180116-rumah-di-jual-di-balikpapan-selatan-balikpapan-1706273482.jpg,3.0,3.0,180 m²,200 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1.0,,,,,,,,,,,,Dijual
23,2 RUMAH DI SONITEN II PERUM PESONA ALAM PERMAI,"Rp 2,8 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16174686/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16174686/original/hos16174686-rumah-di-jual-di-balikpapan-utara-balikpapan-1706247776.jpg,4.0,4.0,256 m²,180 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
24,Rumah Nyaman Dalam Cluster,Rp 900 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16170727/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1641896/2024-01-26-00-18-51-735d9ced-d126-42c5-bd70-5a6b70056c60.jpg,,,189 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,1.0,,Ya,2 Mobil,Sumur Bor,Tidak,Sudah Renovasi,Dijual
25,Rumah Asri Tanah Ngantong,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16170681/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1641896/2024-01-26-00-01-20-31153563-7aa0-4cfa-8334-45e5a3f7434a.jpg,,,230 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,1.0,,Ya,2 Mobil,Sumur Bor,Ya,Sudah Renovasi,Dijual
26,TURUN HARGA!!!  CEPAT RUMAH CANTIK BARU SELESAI RENOVASI DI PERUMAHAN TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,Rp 600 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16104213/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16104213/original/hos16104213-rumah-di-jual-di-balikpapan-utara-balikpapan-1705654413.jpg,2.0,1.0,91 m²,82 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1.0,Tidak,Tidak,Unfurnished,1.0,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Sudah Renovasi,Dijual
27,"BALIKPAPAN, KOST 40 KAMAR STRATEGIS PINGGIR JALAN RAYA PRAPATAN COCOK UNTUK INVESTASI",Rp 15 Miliar,"Prapatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16104183/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16104183/original/hos16104183-rumah-di-jual-di-prapatan-balikpapan-1705654311.jpg,42.0,45.0,350 m²,2054 m²,,Rumah,SHM - Sertifikat Hak Milik,33000 Watt,,1.0,Ya,Ya,,5.0,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
28,"BALIKPAPAN, RUMAH CANTIK DAN MINIMALIS DI PALM HILLS",Rp 695 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16104138/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16104138/original/hos16104138-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705654169.jpg,2.0,1.0,80 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
29,Rumah Bagus Siap Huni di Balikpapan SHM,"Rp 2,8 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16103701/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2024-01-19-08-27-44-9196a110-39dc-4f99-8f79-60bb7afa5a81.jpg,4.0,3.0,160 m²,150 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1.0,1.0,Ya,Ya,Furnished,1.0,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
30,RUMAH CANTIK 1 LANTAI HOOK FULLY FURNISHED DALAM CLUSTER HUNIAN NYAMAN ASRI DAN TENANG,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16102381/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16102381/original/hos16102381-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705648420.jpg,3.0,2.0,221 m²,150 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1.0,Ya,Ya,Furnished,1.0,Pemukiman Warga,Tidak,2 Mobil,,Ya,Bagus,Dijual
31,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16101956/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16101956/original/hos16101956-rumah-di-jual-di-damai-balikpapan-1705646792.jpg,2.0,3.0,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
32,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,"Rp 2,3 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16100913/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16100913/original/hos16100913-rumah-di-jual-di-balikpapan-baru-balikpapan-1705642113.jpg,3.0,2.0,180 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
33,BALIKPAPAN PERUM BUKIT DAMAI INDAH,"Rp 1,85 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16100876/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16100876/original/hos16100876-rumah-di-jual-di-damai-balikpapan-1705641915.jpg,3.0,2.0,120 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
34,BALIKPAPAN RUMAH MURAH SEPINGGAN,Rp 900 Juta,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16099446/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16099446/original/hos16099446-rumah-di-jual-di-balikpapan-timur-balikpapan-1705636838.jpg,3.0,2.0,404 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
35,"Dijual Rumah Luas di Jalan Markoni Atas, Balikpapan. Lt 689m2.","Rp 6,5 Miliar","Balikpapan Kota, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16097705/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1754588/2024-01-19-01-56-34-a7aaadc5-c336-4034-927b-db6746e3efdb.jpg,4.0,2.0,689 m²,692 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,,1.0,1.0,Ya,Ya,Unfurnished,2.0,Pemukiman Warga,Ya,2 Mobil,,Tidak,Butuh Renovasi,Dijual
36,PERUMAHAN MEWAH BALIKPAPAN REGENCY,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16097082/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16097082/original/hos16097082-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705622535.jpg,2.0,1.0,168 m²,84 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
37,ŔUMAH MINIMALIS 2 LANTAI SIAP HUNI DI SEPINGGAN BARU,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16027286/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16027286/original/hos16027286-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705042301.jpg,4.0,2.0,104 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
38,BALIKPAPAN PERUM BALIKPAPAN BARU,"Rp 1,65 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16026337/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16026337/original/hos16026337-rumah-di-jual-di-balikpapan-baru-balikpapan-1705038455.jpg,3.0,2.0,165 m²,64 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
39,Rumah 3 Lantai Konsep Smart Home Tengah Kota Balikpapan,"Rp 1,12 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16025689/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-26-06-00-11-05cfe786-371d-42c2-bd61-f4cc15742bfc.png,3.0,3.0,84 m²,90 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,1.0,Ya,Ya,Unfurnished,3.0,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
40,RUMAH SATU LANTAI BESAR MATRIAL RUMAH PREMIUM DALAM KOMPLEK PERUMAHAN,"Rp 3,7 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15901391/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901391/original/hos15901391-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831261.jpg,3.0,3.0,315 m²,242 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,1.0,,,,,,,,,,,,Dijual
41,TURUN HARGA !!RUMAH MURAH DEKET DOME DAN LOTTE MART BALIKPAPAN,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15901390/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901390/original/hos15901390-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831259.jpg,2.0,1.0,105 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
42,CANTIK DAN TERAWAT HARGA BERSAING,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9256386/,https://picture.rumah123.com/r123/720x420-crop/house/ho92/9256386/original/hos9256386-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831254.jpg,3.0,2.0,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
43,BEST SELLER RUMAH ADA KOLAM RENANG HARGA 3M-AN,"Rp 3,5 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11418008/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11418008/original/hos11418008-rumah-di-jual-di-balikpapan-tengah-balikpapan-1703831247.jpg,3.0,2.0,315 m²,175 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
44,RUMAH MURAH SIAP HUNI DEKAT BANDARA DAN KANTOR KEDINASAN,Rp 750 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15901386/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901386/original/hos15901386-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831241.jpg,3.0,2.0,150 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
45,JARANG ADA DALAM KOMPLEK PERUMAHAN TENGAH KOTA,Rp 400 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15901384/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901384/original/hos15901384-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831238.jpg,2.0,1.0,72 m²,56 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
46,MINIMALIS LINGKUNGAN BERSIH RAMAH ANAK HOMMY,"Rp 1,65 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15901383/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901383/original/hos15901383-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831237.jpg,3.0,2.0,152 m²,95 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
47,DUA LANTAI TIGA KAMAR SELANGKAH KE BALIKPAPAN BARU,"Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15901382/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901382/original/hos15901382-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831234.jpg,3.0,3.0,108 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
48,RUMAH LAMA BANGUNAN LEGA HARGA ISTIMEWA,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15901376/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901376/original/hos15901376-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831223.jpg,4.0,2.0,162 m²,230 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
49,RUMAH DI GRAND CITY SEMI FURNISH 2 KAMAR,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15900779/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900779/original/hos15900779-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827389.jpg,2.0,2.0,78 m²,47 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
50,RUMAH BAGUS JARANG ADA POSISI HOOK DALAM CLUSTER DEKAT MASJID NAMIRAH,"Rp 4,8 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15900778/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900778/original/hos15900778-rumah-di-jual-di-balikpapan-baru-balikpapan-1703827388.jpg,4.0,4.0,400 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
51,RUMAH TANPA DP ANGSURAN 3 JT-AN SETIAP BULAN,Rp 880 Juta,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15900777/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900777/original/hos15900777-rumah-di-jual-di-balikpapan-tengah-balikpapan-1703827386.jpg,2.0,2.0,60 m²,47 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
