,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
0,"BALIKPAPAN,  RUMAH CANTIK TENGAH KOTA (Y255)",https://www.rumah123.com//properti/balikpapan/hos8598225/,https://picture.rumah123.com/r123/720x420-crop/house/ho85/8598225/original/hos8598225-rumah-di-jual-di-balikpapan-selatan-balikpapan-1627023065.jpg,"BALIKPAPAN,  RUMAH CANTIK TENGAH KOTA (Y255)","Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",3,2,210 m²,176 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
1,"BALIKPAPAN,  RUMAH CANTIK TENGAH KOTA (Y255)",https://www.rumah123.com//properti/balikpapan/hos9823819/,https://picture.rumah123.com/r123/720x420-crop/house/ho98/9823819/original/hos9823819-rumah-di-jual-di-balikpapan-selatan-balikpapan-1646612739.jpg,"BALIKPAPAN,  RUMAH CANTIK TENGAH KOTA (Y255)","Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",3,2,210 m²,176 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
2,RUMAH DI DAUN VILLAGE,https://www.rumah123.com//properti/balikpapan/hos15842287/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15842287/original/hos15842287-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703138439.jpg,RUMAH DI DAUN VILLAGE,"Rp 1,25 Miliar","Balikpapan Selatan, Balikpapan",3,1,136 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
3,RUMAH DI DAUN VILLAGE,https://www.rumah123.com//properti/balikpapan/hos11300863/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11300863/original/hos11300863-rumah-di-jual-di-balikpapan-selatan-balikpapan-1664771049.jpg,RUMAH DI DAUN VILLAGE,"Rp 1,25 Miliar","Balikpapan Selatan, Balikpapan",3,1,136 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
4,RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos8921983/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8921983/original/hos8921983-rumah-di-jual-di-balikpapan-utara-balikpapan-1632979124.jpg,RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,Rp 4 Miliar,"Balikpapan Utara, Balikpapan",5,2,538 m²,260 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
5,RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos8430946/,https://picture.rumah123.com/r123/720x420-crop/house/ho84/8430946/original/hos8430946-rumah-di-jual-di-balikpapan-utara-balikpapan-1623641242.jpg,RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,Rp 4 Miliar,"Balikpapan Utara, Balikpapan",5,2,538 m²,260 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
6,RUMAH MEWAH WIKA,https://www.rumah123.com//properti/balikpapan/hos16077390/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16077390/original/hos16077390-rumah-di-jual-di-balikpapan-utara-balikpapan-1705468707.jpg,RUMAH MEWAH WIKA,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",5,5,319 m²,287 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
7,RUMAH MEWAH WIKA,https://www.rumah123.com//properti/balikpapan/hos10368344/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10368344/original/hos10368344-rumah-di-jual-di-balikpapan-utara-balikpapan-1654513952.jpg,RUMAH MEWAH WIKA,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",5,5,319 m²,287 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
8,BALIKPAPAN RUMAH MEWAH KOMPLEKS PERUMAHAN BDI,https://www.rumah123.com//properti/balikpapan/hos14498843/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498843/original/hos14498843-rumah-di-jual-di-damai-balikpapan-1692149270.jpg,BALIKPAPAN RUMAH MEWAH KOMPLEKS PERUMAHAN BDI,"Rp 2,85 Miliar","Damai, Balikpapan",5,5,280 m²,226 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
9,BALIKPAPAN RUMAH MEWAH KOMPLEKS PERUMAHAN BDI,https://www.rumah123.com//properti/balikpapan/hos14805138/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14805138/original/hos14805138-rumah-di-jual-di-damai-balikpapan-1694916226.jpg,BALIKPAPAN RUMAH MEWAH KOMPLEKS PERUMAHAN BDI,"Rp 2,85 Miliar","Damai, Balikpapan",5,5,280 m²,226 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
10,PESONA ALAM PERMAI,https://www.rumah123.com//properti/balikpapan/hos12238502/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12238502/original/hos12238502-rumah-di-jual-di-balikpapan-utara-balikpapan-1672200952.jpg,PESONA ALAM PERMAI,Rp 950 Juta,"Balikpapan Utara, Balikpapan",3,2,174 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
11,PESONA ALAM PERMAI,https://www.rumah123.com//properti/balikpapan/hos10752758/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10752758/original/hos10752758-rumah-di-jual-di-balikpapan-utara-balikpapan-1659320241.jpg,PESONA ALAM PERMAI,Rp 950 Juta,"Balikpapan Utara, Balikpapan",3,2,174 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
12,RUMAH CANTIK SEMI FURNISH DI WIKA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos11180238/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11180238/original/hos11180238-rumah-di-jual-di-balikpapan-utara-balikpapan-1663736529.jpg,RUMAH CANTIK SEMI FURNISH DI WIKA BALIKPAPAN,"Rp 1,65 Miliar","Balikpapan Utara, Balikpapan",3,2,260 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
13,RUMAH CANTIK SEMI FURNISH DI WIKA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos10808437/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10808437/original/hos10808437-rumah-di-jual-di-balikpapan-utara-balikpapan-1659934832.jpg,RUMAH CANTIK SEMI FURNISH DI WIKA BALIKPAPAN,"Rp 1,65 Miliar","Balikpapan Utara, Balikpapan",3,2,260 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
14,RUMAH CANTIK FULL FURNISH DI KAWASAN BELLER,https://www.rumah123.com//properti/balikpapan/hos10021674/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10021674/original/hos10021674-rumah-di-jual-di-balikpapan-tengah-balikpapan-1679985124.jpg,RUMAH CANTIK FULL FURNISH DI KAWASAN BELLER,"Rp 1,8 Miliar","Balikpapan Tengah, Balikpapan",5,3,150 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
15,RUMAH CANTIK FULL FURNISH DI KAWASAN BELLER,https://www.rumah123.com//properti/balikpapan/hos8904125/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8904125/original/hos8904125-rumah-di-jual-di-balikpapan-tengah-balikpapan-1632712620.jpg,RUMAH CANTIK FULL FURNISH DI KAWASAN BELLER,"Rp 1,8 Miliar","Balikpapan Tengah, Balikpapan",5,3,150 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
16,RUMAH TIGA KAMAR TIDUR SIAP HUNI DALAM PERUMAHAN TENGAH KOTA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos15293469/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15293469/original/hos15293469-rumah-di-jual-di-balikpapan-utara-balikpapan-1698654298.jpg,RUMAH TIGA KAMAR TIDUR SIAP HUNI DALAM PERUMAHAN TENGAH KOTA BALIKPAPAN,"Rp 1,25 Miliar","Balikpapan Utara, Balikpapan",3,2,210 m²,98 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
