Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
"Dijual Rumah Mewah di Balikpapan Baru, Balikpapan","Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",2,1,90 m²,55 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,1,,Ya,,,Tidak,Bagus,Dijual
RUMAH STRATEGIS SATU LANTAI DI PERUMAHAN BUKIT DAMAI INDAH,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",2,2,150 m²,130 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Butuh Renovasi,Dijual
"Dijual Rumah Mewah di Balikpapan Baru Cluster Mediterania, Balikpapan","Rp 6,5 Miliar","Balikpapan Selatan, Balikpapan",4,4,475 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,,,1,Ya,Ya,Furnished,1,,Ya,,,Tidak,Bagus,Dijual
"Dijual Rumah di Balikpapan Baru Cluster Vancouver, Balikpapan","Rp 3,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,155 m²,82 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
"Dijual Rumah di Perumahan Citra Bukit Indah Cbi Cluster Greenville, Balikpapan",Rp 3 Miliar,"Balikpapan Selatan, Balikpapan",4,3,375 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,,,1,Ya,Ya,Furnished,2,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH CLUSTER LB 150,"Rp 1,7 Miliar","Balikpapan Utara, Balikpapan",3,3,200 m²,155 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,Semi Furnished,2,,Ya,,,Tidak,Bagus,Dijual
"Dijual Rumah di Komplek Perumahan Pupuk, Balikpapan","Rp 3,8 Miliar","Balikpapan Selatan, Balikpapan",3,3,160 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,,1,,Tidak,Tidak,Semi Furnished,1,,Tidak,,,Tidak,Bagus,Dijual
BALIKPAPAN  PERUMAHAN BUKIT DAMAI INDAH,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH CANTIK MINIMALIS SIAP HUNI DEKAT AKSES IKN,Rp 500 Juta,"Balikpapan Utara, Balikpapan",5,4,300 m²,150 m²,2,Rumah,SHM - Sertifikat Hak Milik,,,,Ya,Ya,Unfurnished,2,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
RUMAH TEPI JALAN BATU AMPAR,"Rp 1,9 Miliar","Balikpapan Utara, Balikpapan",3,2,240 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
INPRES,"Rp 1,2 Miliar","Balikpapan Utara, Balikpapan",2,2,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH 2 LANTAI KEBAWA SIAP HUNI,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",4,4,276 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
RUMAH 2 LANTAI SIAP HUNI POSISI HOOK DI BALIKPAPAN REGENCY.,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",5,3,195 m²,175 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH DUA LANTAI     POSISI HOOK DI GRAND CITY,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",3,3,194 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
Hunian Dekat Terminal Bus Batu Ampar dan ditengah kota,"Rp 1,5 Miliar","Batu Ampar, Balikpapan",3,2,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
RUMAH DI BORNEO PARADISO,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",3,2,256 m²,68 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
RUMAH  DI TENGAH KOTA,"Rp 1,7 Miliar","Klandasan Ilir, Balikpapan",6,4,200 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Semi Furnished,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH MINIMALIS  1 LANTAI SIAP HUNI   ANYAMAN DAN ASRI DI PERUM PGRI,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",2,2,90 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
The Peak Balikpapan,Rp 451 Juta,"Balikpapan Baru, Balikpapan",3,2,145 m²,84 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH SIAP HUNI DENGAN AIR SUMUR BOR DALAM PERUMAHAN TENGAH KOTA BALIKPAPAN,"Rp 1,3 Miliar","Balikpapan Utara, Balikpapan",3,1,142 m²,140 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Di Jual Rumah Dua Lantai Di Gunung Bahagia Balikpapan Timur,"Rp 1,5 Miliar","Balikpapan Timur, Balikpapan",,,120 m²,62 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,Tidak,Tidak,,1,,Tidak,,,Tidak,Baru,Dijual
RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,2,150 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
Dijual Rumah Baru Sepinggan,Rp 885 Juta,"Sepinggan, Balikpapan",,,150 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
"Dijual Rumah 2 Lantai SHM di Balikpapan Baru Bb, Balikpapan","Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
RUMAH NYAMAN TANAH LUAS,"Rp 1,25 Miliar","Balikpapan Utara, Balikpapan",2,1,227 m²,55 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Ya,Ya,Unfurnished,1,Pantai,Ya,2 Mobil,Sumur Bor,Tidak,Baru,Dijual
DI  RUMAH BARU READY STOCK DAN SIAP HUNITANPA DP (DP 0%) & BEBAS SEMUA BIAYA2 NYA,Rp 430 Juta,"Balikpapan Utara, Balikpapan",4,3,198 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Ya,Ya,Unfurnished,2,Perkotaan,Ya,2 Mobil,Sumur Galian,Tidak,Bagus,Dijual
turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 925 Juta,"Balikpapan Selatan, Balikpapan",3,2,395 m²,121 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Dijual Rumah Lux 1 Lantai Full Furnished Dengan Kolam Renang,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",2,1,105 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS  1 LANTAI SIAP HUNI   ANYAMAN DAN ASRI DI PERUM PGRI,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Full Furnish dan ada workshopnya ditengah kota ,Rp 12 Miliar,"Balikpapan Selatan, Balikpapan",4,2,475 m²,400 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,1,Ya,Ya,Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
RUMAH FULLY FURNISHED DI BUKIT DAMAI INDAH (BDI) BALIKPAPAN,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",3,1,142 m²,140 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH FULLY FURNISHED DI BUKIT DAMAI INDAH (BDI) BALIKPAPAN,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",6,4,420 m²,560 m²,2,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,,Tidak,Tidak,Furnished,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Di  Rumah kawasan elit Citra Bukit Indah Ciputra BDI,"Rp 1,05 Miliar","Balikpapan Selatan, Balikpapan",3,2,210 m²,100 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,1,Tidak,Tidak,Semi Furnished,2,Perkotaan,Tidak,2 Mobil,,Tidak,Bagus,Dijual
di  Rumah Nyaman Kawasan Elite Citra Bukit Indah Ciputra BDI,"Rp 1,15 Miliar","Balikpapan Selatan, Balikpapan",3,2,210 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,,,,,,,,,,,,Dijual
Di  dan di  kan rumah cantik nyaman siap huni  semi furnish ciputra bdi (citra bukit indah)  jarang ada!!!,"Rp 1,45 Miliar","Balikpapan Selatan, Balikpapan",2,2,90 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
di  rumah luas siap huni di Bukit Damai Indah BDI Ciputra MT. Haryono Balikpapan,"Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",2,1,90 m²,55 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,1,Perkotaan,Tidak,2 Mobil,,Tidak,,Dijual
di  rumah nyaman di perumahan ciputra bdi citra bukit indah,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,121 m²,105 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 960 Juta,"Balikpapan Selatan, Balikpapan",3,2,140 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
"Di  Rumah nyaman harga dibawah pasaran, semi furnish di BDI Bukit Damai Indah Ciputra","Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,120 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,3500 Watt,,,,,,,,,,,,,Dijual
Di  Rumah Cantik Premium Furnish di Bdi Ciputra balikpapan,"Rp 3,2 Miliar","Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH DITENGAH KOTA DALAM PERUMAHAN,"Rp 1,7 Miliar","Balikpapan Tengah, Balikpapan",3,2,130 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
Rumah Perum WIKA MAHOGANY Balikpapan,Rp 725 Juta,"Gn. Samarinda, Balikpapan",5,5,280 m²,226 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
RUMAH DUA LANTAI DI KARANG REJO,Rp 650 Juta,"Balikpapan Tengah, Balikpapan",2,1,200 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
RUMAH CANTIK  DUA LANTAI DI GRAND CITY,"Rp 2,3 Miliar","Balikpapan Utara, Balikpapan",2,1,120 m²,57 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN RUMAH PERUMAHAN GRAND CITY HYLAND (HM170),"Rp 1,2 Miliar","Balikpapan Timur, Balikpapan",4,2,105 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Minimalis di dekat rumah sakit Umum,Rp 600 Juta,"Balikpapan Utara, Balikpapan",3,3,140 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN  RUMAH TENGAH KOTA,"Rp 1,55 Miliar","Balikpapan Selatan, Balikpapan",2,2,72 m²,36 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS DI DAERAH GUNUNG EMPAT,Rp 850 Juta,"Balikpapan Barat, Balikpapan",2,1,104 m²,44 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
BALIKPAPAN RUMAH  SIAP HUNI MEMILIKI CARPORT (LM 119),Rp 450 Juta,"Balikpapan Selatan, Balikpapan",8,3,135 m²,125 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
119 Balikpapan Regency Rumah Siap Huni Memiliki Carport,Rp 425 Juta,"Balikpapan Selatan, Balikpapan",2,2,165 m²,77 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH MODERN DUA LANTAI DI GRANDCITY,"Rp 5,65 Miliar","Balikpapan Utara, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Rumah Nyaman Posisi Hook,"Rp 1,79 Miliar","Balikpapan Utara, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
SIAP HUNI GRANDCITY,"Rp 2,2 Miliar","Balikpapan Utara, Balikpapan",3,4,220 m²,191 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
Hunian Minimalis dikawasan Balikpapan baru ,"Rp 1,65 Miliar","Balikpapan Baru, Balikpapan",3,2,173 m²,153 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Hunian minimalist modern kawasan regency,"Rp 1,9 Miliar","Sepinggan, Balikpapan",4,3,126 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Rumah minimalist halaman luas dekat terminal Bus,"Rp 1,2 Miliar","Batu Ampar, Balikpapan",3,2,165 m²,165 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
"THE GREEN AZARYA BATAKAN, BALIKPAPAN",Rp 470 Juta,"Balikpapan Timur, Balikpapan",4,2,152 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
DI  RUMAH DE ROYALE BALIKPAPAN REGENCY LOKASI SANGAT  STRATEGISHANYA 10 MENIT KE BANDARA SAMS BALIKPAPAN,"Rp 2,4 Miliar","Balikpapan Selatan, Balikpapan",4,2,276 m²,100 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
"RUMAH SIAP HUNI, DALAM KOTA,BEBAS BANJIR",Rp 530 Juta,"Balikpapan Utara, Balikpapan",2,2,91 m²,42 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Tidak,Tidak,Unfurnished,1,,Tidak,,,Tidak,Bagus,Dijual
Jual Rumah di Balikpapan Kalimantan Timur,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",3,3,241 m²,108 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN BUKIT PRONA (152),Rp 500 Juta,"Sepinggan, Balikpapan",2,2,100 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
DIJUAL RUMAH 2 LANTAI BALIKPAPAN BARU ARIZONA,"Rp 2,6 Miliar","Balikpapan Baru, Balikpapan",5,4,206 m²,255 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Furnished,1,,Ya,2 Mobil,,Ya,Bagus,Dijual
DI  RUMAH 1 1/2 LANTAI BALIKPAPAN BARU ARIZONA,"Rp 1,5 Miliar","Balikpapan Baru, Balikpapan",2,1,100 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
Rumah minimalis  termurah  dikawasan  regency,Rp 520 Juta,"Balikpapan Selatan, Balikpapan",5,4,200 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
Rumah Cluster Premium Pusat Kota Balikpapan,Rp 983 Juta,"Balikpapan Selatan, Balikpapan",3,1,120 m²,93 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH MEWAH TERAWATFULL FURNISHED,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",3,1,72 m²,144 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual
BALIKPAPAN RUMAH GRAND CITY BERSIH DAN TERAWAT (HM73),"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",3,2,75 m²,70 m²,1,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Tidak,Tidak,Unfurnished,2,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
SIAP HUNI HARGA NEGO,"Rp 1,65 Miliar","Balikpapan Utara, Balikpapan",3,2,152 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
"Dijual Rumah di Perumahan Citra Bukit Indah Ciputra , Balikpapan","Rp 2,95 Miliar","Balikpapan Selatan, Balikpapan",2,2,108 m²,61 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Butuh Renovasi,Dijual
Dijual Rumah + Kolam Renang Di Jalan Utama Boulevard Balikpapan Baru Bb ,"Rp 6,5 Miliar","Balikpapan Selatan, Balikpapan",2,1,108 m²,61 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,,,,,,,,,,,,Dijual
Rumah Minimalis 2 Lantai Nyaman Dan Siap Huni di Batakan,"Rp 2,1 Miliar","Balikpapan Timur, Balikpapan",4,4,244 m²,300 m²,2,Rumah,HGB - Hak Guna Bangunan,5500 Watt,1,2,Ya,Ya,Unfurnished,1,,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,Dijual
Rumah Millenial kekinian ditengah kota Balikpapan ,Rp 925 Juta,"Balikpapan Utara, Balikpapan",6,7,600 m²,620 m²,2,Rumah,HGB - Hak Guna Bangunan,,2,2,Ya,Ya,,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,,Dijual
Rumah minimalis modern bagus yg lagi hits di kaum millenial ,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",,,162 m²,145 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH DIPERUMAHAN REGENCY,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,2,80 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Tidak,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
BALIKPAPAN RUMAH PERUMAHAN BALIKPAPAN BARU CLUSTER ORLANDO (HM134),"Rp 2,3 Miliar","Balikpapan Baru, Balikpapan",2,2,61 m²,41 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
DIJUAL RUMAH BARU SIAP HUNI DI JL. PATIMURA BATU AMPAR,Rp 950 Juta,"Balikpapan Utara, Balikpapan",3,2,72 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
DIJUAL RUMAH PINGGIR JALAN RAYA UTAMA GUNUNG MALANG,Rp 7 Miliar,"Klandasan Ilir, Balikpapan",5,4,243 m²,215 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
"DIJUAL RUMAH DEKAT TOKO SATRIA, BALIKPAPAN","Rp 2,5 Miliar","Balikpapan Tengah, Balikpapan",3,2,174 m²,90 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Tidak,Tidak,,2,Perkotaan,Tidak,2 Mobil,,Tidak,Baru,Dijual
DIJUAL RUMAH MODERN 2 MENIT DARI STT MIGAS KM 8 BALIKPAPAN,Rp 726 Juta,"Balikpapan Utara, Balikpapan",3,1,320 m²,270 m²,4,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,2,Perkotaan,Tidak,4 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,Dijual
"DIJUAL RUMAH MEWAH, YANG CANTIK, TERAWAT DI AREA WIKA","Rp 2,6 Miliar","Balikpapan Utara, Balikpapan",2,2,250 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,,,Perkotaan,Tidak,2 Mobil,PAM atau PDAM,Tidak,,Dijual
"DIJUAL RUMAH DAERAH BISNIS KOTA BALIKPAPAN  PINGGIR JALAN POROS UTAMA COCOK UNTUK KANTOR, CAFE DLL","Rp 2,6 Miliar","Balikpapan Baru, Balikpapan",2,2,157 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Tidak,Tidak,Unfurnished,1,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Baru,Dijual
RUMAH KONTRAKAN 6 PINTU SEPINGGAN BARU BALIKPAPAN,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",4,2,250 m²,250 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,Unfurnished,2,,Tidak,2 Mobil,,Tidak,Bagus,Dijual
BALIKPAPAN RUMAH SIAP HUNI RUHUI RAHAYU (HM138),"Rp 2,5 Miliar","Gunung Bahagia, Balikpapan",4,2,400 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,2,Perkotaan,Tidak,4 Mobil,,Tidak,,Dijual
BALIKPAPAN RUMAH HOOK MEWAH PERUMAHAN BALIKPAPAN BARU (HM136),"Rp 7,5 Miliar","Balikpapan Baru, Balikpapan",12,6,154 m²,192 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",3500 Watt,,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,,Sumur Bor,Tidak,Bagus,Dijual
BALIKPAPAN RUMAH 2 KAPLING  LUAS (HM126),Rp 800 Juta,"Balikpapan Selatan, Balikpapan",4,3,135 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1,Tidak,Tidak,Furnished,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Cantik Dan Luas 1 Lantai di Bukit Damai Indah,"Rp 3,2 Miliar","Balikpapan Selatan, Balikpapan",6,4,575 m²,900 m²,,Rumah,SHM - Sertifikat Hak Milik,13300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
DI JUAL CEPAT TURUN HARGA RUMAH DI KAWASAN PERUMAHAN REGENCY,Rp 730 Juta,"Balikpapan Selatan, Balikpapan",2,1,240 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,,1,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
rumah plus toko dipinggir jalan besar dan startegis,Rp 6 Miliar,"Sepinggan, Balikpapan",,,280 m²,226 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
rumah di hook dekat terminal bus dan harga murah,Rp 850 Juta,"Batu Ampar, Balikpapan",3,2,84 m²,56 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
rumah modern dekat universitas,Rp 450 Juta,"Balikpapan Utara, Balikpapan",9,4,700 m²,700 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,Perkotaan,Tidak,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Cantik terasa di Villa dan terasa mewah,Rp 1 Miliar,"Balikpapan Utara, Balikpapan",2,1,96 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pegunungan,Tidak,1 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
"Rumah Cantik, minimalis terasa spr di hotel, aman, dan nyaman",Rp 700 Juta,"Balikpapan Selatan, Balikpapan",2,1,108 m²,48 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,,PAM atau PDAM,Tidak,Baru,Dijual
RUMAH LUAS TIGA KAMAR TIDUR DI PERUMAHAN ELITE BALIKPAPAN,"Rp 1,7 Miliar","Balikpapan Baru, Balikpapan",3,1,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,1 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
APPARTHOUSE di tengah Kota balikpapan.  ,Rp 395 Juta,"Balikpapan Utara, Balikpapan",2,1,72 m²,60 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
