,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
0,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",https://www.rumah123.com//properti/balikpapan/hos16101956/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16101956/original/hos16101956-rumah-di-jual-di-damai-balikpapan-1705646792.jpg,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
1,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",https://www.rumah123.com//properti/balikpapan/hos16122251/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122251/original/hos16122251-rumah-di-jual-di-damai-balikpapan-1705882031.jpg,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
2,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",https://www.rumah123.com//properti/balikpapan/hos16108634/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16108634/original/hos16108634-rumah-di-jual-di-damai-balikpapan-1705709528.jpg,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
3,CEPAT RUMAH CANTIK SEMI FURNISHED,https://www.rumah123.com//properti/balikpapan/hos15729048/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15729048/original/hos15729048-rumah-di-jual-di-balikpapan-utara-balikpapan-1702018779.jpg,CEPAT RUMAH CANTIK SEMI FURNISHED,Rp 675 Juta,"Balikpapan Utara, Balikpapan",2,1,110 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
4,CEPAT RUMAH CANTIK SEMI FURNISHED,https://www.rumah123.com//properti/balikpapan/hos16122241/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122241/original/hos16122241-rumah-di-jual-di-balikpapan-utara-balikpapan-1705881837.jpg,CEPAT RUMAH CANTIK SEMI FURNISHED,Rp 675 Juta,"Balikpapan Utara, Balikpapan",2,1,110 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
5,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14863499/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14863499/original/hos14863499-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695342000.jpg,BALIKPAPAN PERUMAHAN REGENCY,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
6,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14921618/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14921618/original/hos14921618-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695773150.jpg,BALIKPAPAN PERUMAHAN REGENCY,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
7,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14686956/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14686956/original/hos14686956-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693890696.jpg,BALIKPAPAN PERUMAHAN REGENCY,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
8,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos15746342/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15746342/original/hos15746342-rumah-di-jual-di-balikpapan-selatan-balikpapan-1702254021.jpg,BALIKPAPAN PERUMAHAN REGENCY,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
9,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos15122378/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15122378/original/hos15122378-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697267108.jpg,BALIKPAPAN PERUMAHAN REGENCY,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
