,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
115,RUMAH DEKAT PASAR INPRES KEBUN SAYUR,Rp 3 Miliar,"Marga Sari, Balikpapan",7,7,600 m²,550 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
116,RUMAH 2 LANTAI SIAP HUNI DI SEPINGGAN  PRATAMA,"Rp 1,35 Miliar","Balikpapan Selatan, Balikpapan",3,3,108 m²,141 m²,,Rumah,HGB - Hak Guna Bangunan,16500 Watt,,,,,,,,,,,,,Dijual
117,RUMAH MINIMALIS  SIAP HUNI HARGA TERJUN BEBAS DI SEPINGGAN PRATAMA,"Rp 1,55 Miliar","Balikpapan Selatan, Balikpapan",2,2,160 m²,144 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,1,,,,,,,,,,,,Dijual
118,RUMAH MINIMALIS MODERN BERSIH TERAWAT SIAP HUNI DI SEPINGGAN PRATAMA,Rp 4 Miliar,"Balikpapan Selatan, Balikpapan",3,2,400 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
119,RUMAH BARU MINIMALIS DUA KAMAR TIDUR DALAM PERUMAHAN DI TENGAH KOTA BALIKPAPAN,Rp 607 Juta,"Balikpapan Tengah, Balikpapan",2,1,72 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
120,Rumah Siap Huni 2 Lantai Full Renovasi dan furnished di Perumahan Wika Balikpapan,"Rp 1,45 Miliar","Balikpapan Utara, Balikpapan",5,3,201 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Tidak,Tidak,,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
121,Rumah Minimalist Dekat Rumah Sakit Hermina Balikpapan,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",3,2,200 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
122,Rumah Minimalist Jual Cepat  ditengah kota,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",3,2,120 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
123,"Dijual Rumah Kantor di Komplek Balikpapan Baru, Balikpapan Selatan Kalimantan Timur","Rp 6,9 Miliar","Balikpapan Baru, Balikpapan",12,9,295 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,Semi Furnished,3,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
124,RUMAH EMPAT KAMAR TIDUR MEWAH LUAS DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",4,4,342 m²,308 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,,,,,,,,,,,Dijual
125,Balikpapan di  rumah nyaman di Borneo Paradiso,"Rp 1,19 Miliar","Sepinggan, Balikpapan",2,1,162 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,,,,,,,,,,,Dijual
126,RUMAH BARU RENOVASI SIAP HUNI DI PERUMAHAN DAUN VILLAGE,"Rp 1,9 Miliar","Balikpapan Selatan, Balikpapan",2,1,212 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
127,RUMAH STRATEGIS DI PERUMAHAN DAUN VILLAGE,Rp 930 Juta,"Balikpapan Utara, Balikpapan",3,2,80 m²,112 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
128,Dijual Rumah di Poka Pondok Katrya Agung Loakasi Tengah Kota Balikpapan,"Rp 1,3 Miliar","Balikpapan Selatan, Balikpapan",5,3,450 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
129,RUMAH  SIAP HUNI 2 LANTAI DEPAN JALAN UTAMA PERUMAHAN DENGAN HARGA MIRING,"Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",4,3,170 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
130,"RUMAH HOOK SIAP HUNI DENGAN LOKASI AMAN, NYAMAN DAN BEBAS BANJIR SERTA DEKAT DENGAN BANDARA","Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",4,3,287 m²,184 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
131,BALIKPAPAN KOST KOSTAN TENGAH KOTA,"Rp 1,25 Miliar","Gn. Sari Ilir, Balikpapan",8,8,217 m²,217 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
132,SEGERA PERUM CITRA BUKIT INDAH,"Rp 4,5 Miliar","Damai, Balikpapan",4,1,356 m²,199 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
133,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
