,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
544,HUNIAN DAN TANAH KEBUN LUAS PINGGIR JALAN PROPINSI BEBAS BANJIR,Rp 3 Miliar,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10161331/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10161331/original/hos10161331-rumah-di-jual-di-balikpapan-timur-balikpapan-1651115417.jpg,4,2,2280 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
545,RUMAH 2 LANTI MEWAH DAN ISTIMEWA,"Rp 3,9 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9989782/,https://picture.rumah123.com/r123/720x420-crop/house/ho99/9989782/original/hos9989782-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826413.jpg,4,4,300 m²,330 m²,,Rumah,SHM - Sertifikat Hak Milik,13200 Watt,,,,,,,,,,,,,Dijual
546,RUMAH HITUNG TANAH,Rp 700 Juta,"Balikpapan Barat, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9989382/,https://picture.rumah123.com/r123/720x420-crop/house/ho99/9989382/original/hos9989382-rumah-di-jual-di-balikpapan-barat-balikpapan-1703832818.jpg,3,1,208 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
547,"RUMAH DALAM KOTA,PERUM KORPRI","Rp 3,1 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9941261/,https://picture.rumah123.com/r123/720x420-crop/house/ho99/9941261/original/hos9941261-rumah-di-jual-di-balikpapan-selatan-balikpapan-1683599312.jpg,5,1,600 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
548,HOOK BESAR DALAM PERUMAHAN ELIT,"Rp 3,8 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9573527/,https://picture.rumah123.com/r123/720x420-crop/house/ho95/9573527/original/hos9573527-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827367.jpg,4,3,322 m²,230 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
549,RUMAH CLASSIC BALIKPAPAN DAN KOS TERAWAT DEKAT SMK AIRLANGGA DAN KAMPUS STIEPAN,"Rp 2,49 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9224802/,https://picture.rumah123.com/r123/720x420-crop/house/ho92/9224802/original/hos9224802-rumah-di-jual-di-balikpapan-tengah-balikpapan-1637817196.jpg,4,2,540 m²,207 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,5,,,,,,,,,,,,Dijual
550,RUMAH TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 1,33 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9026507/,https://picture.rumah123.com/r123/720x420-crop/house/ho90/9026507/original/hos9026507-rumah-di-jual-di-balikpapan-selatan-balikpapan-1634775673.jpg,3,2,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
551,MILONO,"Rp 3,2 Miliar","Klandasan Ulu, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8990666/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8990666/original/hos8990666-rumah-di-jual-di-klandasan-ulu-balikpapan-1634172012.jpg,12,13,400 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
552,TURUN HARGA RUMAH MEWAH DEPAN BSBS,"Rp 7,75 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8958258/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8958258/original/hos8958258-rumah-di-jual-di-balikpapan-selatan-di-balikpapan-1633596754611.jpg,6,5,380 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,3,,,,,,,Dijual
553,KANTOR/ MESS/ RUMAH TINGGAL STRATEGIS JUAL CEPAT,"Rp 4,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8957788/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8957788/original/hos8957788-rumah-di-jual-di-balikpapan-utara-di-balikpapan-16335930890466.jpg,7,4,550 m²,550 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,2,,,,,,,Dijual
