,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1401,Rumah siap Tempati,Rp 300 Juta,"Balikpapan Timur, Balikpapan",,,112 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,1,,Tidak,,Sumur Bor,Ya,Baru,Dijual
1402,"RUMAH PREMIUM GOLF VIEW RESIDENCE DI PUPUK TIMUR, BALIKPAPAN","Rp 2,26 Miliar","Balikpapan Selatan, Balikpapan",3,3,133 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,Unfurnished,2,Perkotaan,Tidak,2 Mobil,,Tidak,Baru,Dijual
1403,Rumah minimalis modern dekat bandara internasional Sepinggan ,"Rp 1,75 Miliar","Sepinggan, Balikpapan",3,2,135 m²,145 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Semi Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1404,Rumah minimalis  tinggal masuk badan dikawasan  perumahan elite,"Rp 2,15 Miliar","Balikpapan Selatan, Balikpapan",3,3,207 m²,160 m²,1,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1405,Rumah cantik & bersih plus toko di area perumahan millenial ,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",2,3,150 m²,450 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,,3,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1406,2 unit rumah cantik ditengah kota balikpapan ,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,1,45 m²,91 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
1407,Rumah+gudang+kantor dipinggir jalan besar,"Rp 9,2 Miliar","Balikpapan Utara, Balikpapan",3,5,1320 m²,839 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Ya,Ya,Semi Furnished,1,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1408,RUMAH BESERTA KOST-KOSTAN,Rp 2 Miliar,"Balikpapan Selatan, Balikpapan",12,11,406 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1409,RUMAH DI BALIKPAPAN REGENCY,Rp 675 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1411,RUMAH MEWAH BALIKPAPAN BARU DUA LANTAI,Rp 6 Miliar,"Balikpapan Selatan, Balikpapan",4,4,360 m²,360 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
1412,PERUMAHAN PESONA KHATULISTIWA,Rp 585 Juta,"Balikpapan Tengah, Balikpapan",2,1,72 m²,36 m²,,Rumah,HGB - Hak Guna Bangunan,5500 Watt,,,,,,,,,,,,,Dijual
1413,RUMAH DICITRA BUKIT INDAH CIPUTRA,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,90 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
