,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
31,Rumah Bagus di Karang Rejo Bergarasi Luas,"Rp 2,1 Miliar","Balikpapan Tengah, Balikpapan",3,2,296 m²,371 m²,2,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
32,Rumah cantik minimalis 3 lantai di bdi,"Rp 2,1 Miliar","Balikpapan Selatan, Balikpapan",,,91 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
33,"BALIKPAPAN, RUMAH COZY DI REGENCY","Rp 1,55 Miliar","Balikpapan Selatan, Balikpapan",4,3,168 m²,91 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
34,RUMAH CANTIK DI TENGAH KOTA BALIKPAPAN,Rp 650 Juta,"Balikpapan Selatan, Balikpapan",2,1,120 m²,48 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
35,RUMAH CANTIK DI TENGAH KOTA BALIKPAPAN,Rp 650 Juta,"Balikpapan Selatan, Balikpapan",2,1,120 m²,48 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
36,"Dijual Rumah di Komplek Borneo Paradiso Cluster Oakwood , Balikpapan",Rp 825 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,55 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,1,,Ya,,,Tidak,Bagus,Dijual
37,Rumah murah tengah kota,Rp 700 Juta,"Muara Rapak, Balikpapan",2,2,150 m²,130 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Butuh Renovasi,Dijual
38,"Dijual Rumah Mewah di Balikpapan Baru, Balikpapan","Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",4,4,475 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,,,1,Ya,Ya,Furnished,1,,Ya,,,Tidak,Bagus,Dijual
39,RUMAH STRATEGIS SATU LANTAI DI PERUMAHAN BUKIT DAMAI INDAH,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",3,2,155 m²,82 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
40,"Dijual Rumah Mewah di Balikpapan Baru Cluster Mediterania, Balikpapan","Rp 6,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,375 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,,,1,Ya,Ya,Furnished,2,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
41,"Dijual Rumah di Balikpapan Baru Cluster Vancouver, Balikpapan","Rp 3,2 Miliar","Balikpapan Selatan, Balikpapan",3,3,200 m²,155 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,Semi Furnished,2,,Ya,,,Tidak,Bagus,Dijual
42,"Dijual Rumah di Perumahan Citra Bukit Indah Cbi Cluster Greenville, Balikpapan",Rp 3 Miliar,"Balikpapan Selatan, Balikpapan",3,3,160 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,,1,,Tidak,Tidak,Semi Furnished,1,,Tidak,,,Tidak,Bagus,Dijual
43,RUMAH CLUSTER LB 150,"Rp 1,7 Miliar","Balikpapan Utara, Balikpapan",4,3,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
44,"Dijual Rumah di Komplek Perumahan Pupuk, Balikpapan","Rp 3,8 Miliar","Balikpapan Selatan, Balikpapan",5,4,300 m²,150 m²,2,Rumah,SHM - Sertifikat Hak Milik,,,,Ya,Ya,Unfurnished,2,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
45,BALIKPAPAN  PERUMAHAN BUKIT DAMAI INDAH,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,240 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
46,RUMAH CANTIK MINIMALIS SIAP HUNI DEKAT AKSES IKN,Rp 500 Juta,"Balikpapan Utara, Balikpapan",2,2,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
47,RUMAH TEPI JALAN BATU AMPAR,"Rp 1,9 Miliar","Balikpapan Utara, Balikpapan",4,4,276 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
48,INPRES,"Rp 1,2 Miliar","Balikpapan Utara, Balikpapan",5,3,195 m²,175 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
49,RUMAH 2 LANTAI KEBAWA SIAP HUNI,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",3,3,194 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
50,RUMAH 2 LANTAI SIAP HUNI POSISI HOOK DI BALIKPAPAN REGENCY.,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",3,2,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
51,RUMAH DUA LANTAI     POSISI HOOK DI GRAND CITY,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",3,2,256 m²,68 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
52,Hunian Dekat Terminal Bus Batu Ampar dan ditengah kota,"Rp 1,5 Miliar","Batu Ampar, Balikpapan",6,4,200 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Semi Furnished,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
53,RUMAH DI BORNEO PARADISO,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",2,2,90 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
54,RUMAH  DI TENGAH KOTA,"Rp 1,7 Miliar","Klandasan Ilir, Balikpapan",3,2,145 m²,84 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
55,RUMAH MINIMALIS  1 LANTAI SIAP HUNI   ANYAMAN DAN ASRI DI PERUM PGRI,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",3,1,142 m²,140 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
56,The Peak Balikpapan,Rp 451 Juta,"Balikpapan Baru, Balikpapan",,,120 m²,62 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,Tidak,Tidak,,1,,Tidak,,,Tidak,Baru,Dijual
57,RUMAH SIAP HUNI DENGAN AIR SUMUR BOR DALAM PERUMAHAN TENGAH KOTA BALIKPAPAN,"Rp 1,3 Miliar","Balikpapan Utara, Balikpapan",2,2,150 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
58,Di Jual Rumah Dua Lantai Di Gunung Bahagia Balikpapan Timur,"Rp 1,5 Miliar","Balikpapan Timur, Balikpapan",,,150 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
59,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
60,Dijual Rumah Baru Sepinggan,Rp 885 Juta,"Sepinggan, Balikpapan",2,1,227 m²,55 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Ya,Ya,Unfurnished,1,Pantai,Ya,2 Mobil,Sumur Bor,Tidak,Baru,Dijual
61,"Dijual Rumah 2 Lantai SHM di Balikpapan Baru Bb, Balikpapan","Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,198 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Ya,Ya,Unfurnished,2,Perkotaan,Ya,2 Mobil,Sumur Galian,Tidak,Bagus,Dijual
62,RUMAH NYAMAN TANAH LUAS,"Rp 1,25 Miliar","Balikpapan Utara, Balikpapan",3,2,395 m²,121 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
63,DI  RUMAH BARU READY STOCK DAN SIAP HUNITANPA DP (DP 0%) & BEBAS SEMUA BIAYA2 NYA,Rp 430 Juta,"Balikpapan Utara, Balikpapan",2,1,105 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
64,turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 925 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
65,Dijual Rumah Lux 1 Lantai Full Furnished Dengan Kolam Renang,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",4,2,475 m²,400 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,1,Ya,Ya,Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
66,RUMAH MINIMALIS  1 LANTAI SIAP HUNI   ANYAMAN DAN ASRI DI PERUM PGRI,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",3,1,142 m²,140 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
67,Rumah Full Furnish dan ada workshopnya ditengah kota ,Rp 12 Miliar,"Balikpapan Selatan, Balikpapan",6,4,420 m²,560 m²,2,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,,Tidak,Tidak,Furnished,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
68,RUMAH FULLY FURNISHED DI BUKIT DAMAI INDAH (BDI) BALIKPAPAN,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",3,2,210 m²,100 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,1,Tidak,Tidak,Semi Furnished,2,Perkotaan,Tidak,2 Mobil,,Tidak,Bagus,Dijual
69,RUMAH FULLY FURNISHED DI BUKIT DAMAI INDAH (BDI) BALIKPAPAN,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",3,2,210 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,,,,,,,,,,,,Dijual
70,Di  Rumah kawasan elit Citra Bukit Indah Ciputra BDI,"Rp 1,05 Miliar","Balikpapan Selatan, Balikpapan",2,2,90 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
71,di  Rumah Nyaman Kawasan Elite Citra Bukit Indah Ciputra BDI,"Rp 1,15 Miliar","Balikpapan Selatan, Balikpapan",2,1,90 m²,55 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,1,Perkotaan,Tidak,2 Mobil,,Tidak,,Dijual
72,Di  dan di  kan rumah cantik nyaman siap huni  semi furnish ciputra bdi (citra bukit indah)  jarang ada!!!,"Rp 1,45 Miliar","Balikpapan Selatan, Balikpapan",3,2,121 m²,105 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
73,di  rumah luas siap huni di Bukit Damai Indah BDI Ciputra MT. Haryono Balikpapan,"Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",3,2,140 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
74,di  rumah nyaman di perumahan ciputra bdi citra bukit indah,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,120 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,3500 Watt,,,,,,,,,,,,,Dijual
75,Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 960 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
76,"Di  Rumah nyaman harga dibawah pasaran, semi furnish di BDI Bukit Damai Indah Ciputra","Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,130 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
77,Di  Rumah Cantik Premium Furnish di Bdi Ciputra balikpapan,"Rp 3,2 Miliar","Balikpapan Selatan, Balikpapan",5,5,280 m²,226 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
78,RUMAH DITENGAH KOTA DALAM PERUMAHAN,"Rp 1,7 Miliar","Balikpapan Tengah, Balikpapan",2,1,200 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
79,Rumah Perum WIKA MAHOGANY Balikpapan,Rp 725 Juta,"Gn. Samarinda, Balikpapan",2,1,120 m²,57 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
80,RUMAH DUA LANTAI DI KARANG REJO,Rp 650 Juta,"Balikpapan Tengah, Balikpapan",4,2,105 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
81,RUMAH CANTIK  DUA LANTAI DI GRAND CITY,"Rp 2,3 Miliar","Balikpapan Utara, Balikpapan",3,3,140 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
82,BALIKPAPAN RUMAH PERUMAHAN GRAND CITY HYLAND (HM170),"Rp 1,2 Miliar","Balikpapan Timur, Balikpapan",2,2,72 m²,36 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,,,,,,,,,,,,Dijual
83,Rumah Minimalis di dekat rumah sakit Umum,Rp 600 Juta,"Balikpapan Utara, Balikpapan",2,1,104 m²,44 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
84,BALIKPAPAN  RUMAH TENGAH KOTA,"Rp 1,55 Miliar","Balikpapan Selatan, Balikpapan",8,3,135 m²,125 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
85,RUMAH MINIMALIS DI DAERAH GUNUNG EMPAT,Rp 850 Juta,"Balikpapan Barat, Balikpapan",2,2,165 m²,77 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
86,BALIKPAPAN RUMAH  SIAP HUNI MEMILIKI CARPORT (LM 119),Rp 450 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
87,119 Balikpapan Regency Rumah Siap Huni Memiliki Carport,Rp 425 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
88,RUMAH MODERN DUA LANTAI DI GRANDCITY,"Rp 5,65 Miliar","Balikpapan Utara, Balikpapan",3,4,220 m²,191 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
89,Rumah Nyaman Posisi Hook,"Rp 1,79 Miliar","Balikpapan Utara, Balikpapan",3,2,173 m²,153 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
90,SIAP HUNI GRANDCITY,"Rp 2,2 Miliar","Balikpapan Utara, Balikpapan",4,3,126 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
91,Hunian Minimalis dikawasan Balikpapan baru ,"Rp 1,65 Miliar","Balikpapan Baru, Balikpapan",3,2,165 m²,165 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
94,"THE GREEN AZARYA BATAKAN, BALIKPAPAN",Rp 470 Juta,"Balikpapan Timur, Balikpapan",2,2,91 m²,42 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Tidak,Tidak,Unfurnished,1,,Tidak,,,Tidak,Bagus,Dijual
95,DI  RUMAH DE ROYALE BALIKPAPAN REGENCY LOKASI SANGAT  STRATEGISHANYA 10 MENIT KE BANDARA SAMS BALIKPAPAN,"Rp 2,4 Miliar","Balikpapan Selatan, Balikpapan",3,3,241 m²,108 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
96,"RUMAH SIAP HUNI, DALAM KOTA,BEBAS BANJIR",Rp 530 Juta,"Balikpapan Utara, Balikpapan",2,2,100 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
97,Jual Rumah di Balikpapan Kalimantan Timur,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",5,4,206 m²,255 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Furnished,1,,Ya,2 Mobil,,Ya,Bagus,Dijual
98,BALIKPAPAN BUKIT PRONA (152),Rp 500 Juta,"Sepinggan, Balikpapan",2,1,100 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
99,DIJUAL RUMAH 2 LANTAI BALIKPAPAN BARU ARIZONA,"Rp 2,6 Miliar","Balikpapan Baru, Balikpapan",5,4,200 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
100,DI  RUMAH 1 1/2 LANTAI BALIKPAPAN BARU ARIZONA,"Rp 1,5 Miliar","Balikpapan Baru, Balikpapan",3,1,120 m²,93 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
101,Rumah minimalis  termurah  dikawasan  regency,Rp 520 Juta,"Balikpapan Selatan, Balikpapan",3,1,72 m²,144 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual
102,Rumah Cluster Premium Pusat Kota Balikpapan,Rp 983 Juta,"Balikpapan Selatan, Balikpapan",3,2,75 m²,70 m²,1,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Tidak,Tidak,Unfurnished,2,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
