,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
788,RUMAH BALIKPAPAN BDI PUSAT KOTA 5 KAMAR,"Rp 1,5 Miliar","Gunung Bahagia, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15874585/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15874585/original/hos15874585-rumah-di-jual-di-gunung-bahagia-balikpapan-1703553235.jpg,5,3,144 m²,207 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
789,"131 Balikpapan Baru Rumah 2,5 Lantai Harga Dibawah Pasaran","Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15766030/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-14-22-14-37-1b3ee454-80de-4b70-82eb-0b89d7c17f35.jpg,4,4,160 m²,320 m²,1,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,Ya,Ya,Unfurnished,3,,Ya,3 Mobil,Sumur Bor,Tidak,,Dijual
790,Rumah Modern 2 Lantai di Borneo Paradiso,"Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15761443/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2023-12-12-07-11-14-a2756ab1-e067-4161-a133-450b9fa242ac.jpg,5,3,234 m²,468 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,1,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Sudah Renovasi,Dijual
791,RUMAH ASRI DALAM CLUSTER,"Rp 1,7 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15760033/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15760033/original/hos15760033-rumah-di-jual-di-damai-balikpapan-1702357784.jpg,3,1,195 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
792,RUMAH SIAP HUNI,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15760012/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15760012/original/hos15760012-rumah-di-jual-di-balikpapan-utara-balikpapan-1702357651.jpg,2,2,108 m²,60 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
793,358 Balikpapan Citra Bukit Indah 4 Kt Furnished,"Rp 3,25 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15688278/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-23-22-03-18c48ef2-957b-4005-acc7-e67388f02a07.jpg,4,4,160 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,Furnished,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
794,"Rumah Mewah Siap Huni di Pupuk, Balikpapan",Rp 25 Miliar,"Balikpapan Kota, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15684410/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2023-12-26-03-45-58-93eceb50-6c79-4e3a-a830-8162226b15f7.jpg,15,15,1060 m²,1600 m²,4,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,1,Tidak,Tidak,Furnished,2,Perkotaan,Ya,2 Mobil,Sumur Bor,Tidak,Bagus,Dijual
795,"Dijual Rumah Di Jl. Tumaritis Gang Arwana , Balikpapan",Rp 450 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15684110/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1082865/2023-12-05-09-02-14-b951a7db-a6ed-481f-8482-f22fc4cef457.jpg,2,2,87 m²,66 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,1,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
796,RUMAH MINIMALIS TERAWAT DI AREA WIKA BALIKPAPAN,Rp 760 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15676221/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15676221/original/hos15676221-rumah-di-jual-di-balikpapan-utara-balikpapan-1701738055.jpg,3,1,120 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
797,Hunian Modern Dihook Di Balikpapan Baru.,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15676182/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15676182/original/hos15676182-rumah-di-jual-di-balikpapan-baru-balikpapan-1701737453.jpg,5,5,248 m²,311 m²,2,Rumah,HGB - Hak Guna Bangunan,3500 Watt,,,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,4 Mobil,,Ya,Bagus,Dijual
