,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1201,"DI JUAL RUMAH 3 LANTAI DI TELAGA SARI, BALIKPAPAN","Rp 1,09 Miliar","Balikpapan Kota, Balikpapan",6,4,150 m²,174 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1,Tidak,Tidak,,3,Pemukiman Warga,Tidak,,,Tidak,Bagus,Dijual
1202,DI JUAL RUMAH LUAS TANAH 650 M² DI KARIANGAU BALIKPAPAN,"Rp 1,9 Miliar","Balikpapan Utara, Balikpapan",3,2,650 m²,276 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,,1,Pemukiman Warga,Tidak,,,Tidak,,Dijual
1203,RUMAH DI DAUN VILLAGE,"Rp 1,25 Miliar","Balikpapan Selatan, Balikpapan",3,1,136 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1204,Rumah Ellite Minimalis di Tengah Kota dan baru dibangun ,Rp 950 Juta,"Sumber Rejo, Balikpapan",2,2,72 m²,66 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,,PAM atau PDAM,Tidak,Baru,Dijual
1205,Rumah Minimalis mewah terasa di Appartemen Full Furnish,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
1206,RUMAH LUAS UNIK GAYA BALI DENGAN KOLAM RENANG DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 4,3 Miliar","Balikpapan Utara, Balikpapan",3,3,610 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2,,,,,,,,,,,,Dijual
1207,Rumah Plus Ruko Dekat Masjid dan dipinggir jalan besar ,"Rp 1,5 Miliar","Balikpapan Tengah, Balikpapan",3,1,200 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
1208,RUMAH MINIMALIS DEKAT DOME BALIKPAPAN.  ,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",2,2,175 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
1209,Rumah Strategis Bebas Banjir Balikpapan Regency Dekat Polda Harga Terjangkau,Rp 385 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,36 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1210,RUMAH PLUS GUDANG DIPINGGIR JALAN BESAR DAN DEKAT PELABUHAN FERRY,"Rp 1,9 Miliar","Kariangau, Balikpapan",3,2,900 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,Unfurnished,,,,,,,Bagus,Dijual
