,Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
143,644,RUMAH MINIMALIS 2 LANTAI SIAP HUNI DENGAN TAMBAHAN TANAH YANG CUKUP LUAS,"Rp 1,25 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14836211/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14836211/original/hos14836211-rumah-di-jual-di-balikpapan-utara-balikpapan-1695178041.jpg,2.0,2.0,60 m²,47 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
144,645,Hunian Unik Dekat Toll Balikpapan Samarinda,Rp 800 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14766704/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14766704/original/hos14766704-rumah-di-jual-di-balikpapan-utara-balikpapan-1694593280.jpg,3.0,3.0,450 m²,108 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
145,646,RUMAH 2 LANTAI SEMI FURNISH BERSIH TERAWAT DI TENGAH KOTA BALIKPAPAN,Rp 2 Miliar,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14766652/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14766652/original/hos14766652-rumah-di-jual-di-balikpapan-tengah-balikpapan-1694593091.jpg,5.0,3.0,300 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
146,647,RUMAH SIAP PAKAI FULL FURNISHED DI TENGAH KOTA (LM314),"Rp 1,25 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14762061/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-05-03-07-19-14327e5e-b27c-4935-bdeb-20d8a90894f9.jpg,3.0,2.0,150 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
147,648,314 Balikpapan Villa Damai Rumah Siap Pakai Full Furnished,"Rp 1,25 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14762060/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-34-39-84b638ba-0250-4565-a759-64da476ac0fd.jpg,3.0,2.0,150 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
148,649,Hunian minimalist dikawasan perindustrian dan perkantoran,Rp 700 Juta,"Kariangau, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14758822/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14758822/original/hos14758822-rumah-di-jual-di-kariangau-balikpapan-1694565428.jpg,2.0,1.0,150 m²,60 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,Tidak,Tidak,Unfurnished,1.0,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
149,650,Hunian tingkat diperum regency Balikpapan,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14758807/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14758807/original/hos14758807-rumah-di-jual-di-balikpapan-selatan-balikpapan-1694565205.jpg,5.0,4.0,152 m²,130 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,2.0,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
150,651,Rumah Sultan ditengah kota balikpapan.  ,"Rp 4,5 Miliar","Balikpapan Barat, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14758786/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14758786/original/hos14758786-rumah-di-jual-di-balikpapan-barat-balikpapan-1694564763.jpg,6.0,5.0,480 m²,444 m²,6.0,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,,2.0,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
151,652,Rumah tingkat 2 tembusan Toll Balikpapan Samarinda,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14758755/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14758755/original/hos14758755-rumah-di-jual-di-balikpapan-selatan-balikpapan-1694564400.jpg,5.0,2.0,120 m²,230 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,2.0,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
152,653,Dijual Rumah 2 Lantai di Cluster Elite Grand City Balikpapan,"Rp 4,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14633098/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-30-08-58-52-e7eecdd3-2446-4608-b18f-e81bd54e9119.jpg,4.0,3.0,220 m²,190 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,1.0,Tidak,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
153,654,rumah model Belanda bisa tempat tinggal ada usaha kost,Rp 970 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14630080/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14630080/original/hos14630080-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693377564.jpg,5.0,3.0,120 m²,185 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
154,655,BALIKPAPAN RUMAH BESAR TENGAH KOTA,"Rp 4,2 Miliar","Klandasan Ilir, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14630002/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14630002/original/hos14630002-rumah-di-jual-di-klandasan-ilir-balikpapan-1693377158.jpg,12.0,6.0,122 m²,370 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
155,656,hunian tempat tinggal serta ada kost mirip di timur tengah,Rp 2 Miliar,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14627605/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14627605/original/hos14627605-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693366834.jpg,8.0,3.0,135 m²,125 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,2.0,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
