,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
0,RUMAH BALIKPAPAN GUNUNG GUNTUR,https://www.rumah123.com//properti/balikpapan/hos15714389/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714389/original/hos15714389-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701994592.jpg,RUMAH BALIKPAPAN GUNUNG GUNTUR,Rp 385 Juta,"Balikpapan Tengah, Balikpapan",3,2,180 m²,154 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
1,RUMAH BALIKPAPAN GUNUNG GUNTUR,https://www.rumah123.com//properti/balikpapan/hos14484450/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14484450/original/hos14484450-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692003207.jpg,RUMAH BALIKPAPAN GUNUNG GUNTUR,Rp 385 Juta,"Balikpapan Tengah, Balikpapan",3,2,180 m²,154 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
2,GUNUNG GUNTUR,https://www.rumah123.com//properti/balikpapan/hos15023584/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023584/original/hos15023584-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1696574577.jpg,GUNUNG GUNTUR,Rp 550 Juta,"Gn. Sari Ilir, Balikpapan",2,1,78 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
3,GUNUNG GUNTUR,https://www.rumah123.com//properti/balikpapan/hos11693717/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693717/original/hos11693717-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1667786430.jpg,GUNUNG GUNTUR,Rp 550 Juta,"Gn. Sari Ilir, Balikpapan",2,1,78 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
4,PERUM GRIYA PERMATA ASRI,https://www.rumah123.com//properti/balikpapan/hos15023529/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023529/original/hos15023529-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574342.jpg,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
5,PERUM GRIYA PERMATA ASRI,https://www.rumah123.com//properti/balikpapan/hos10734650/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10734650/original/hos10734650-rumah-di-jual-di-balikpapan-selatan-balikpapan-1659025672.jpg,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
6,PERUM GRIYA PERMATA ASRI,https://www.rumah123.com//properti/balikpapan/hos11693695/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693695/original/hos11693695-rumah-di-jual-di-balikpapan-selatan-balikpapan-1667786196.jpg,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
7,RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,https://www.rumah123.com//properti/balikpapan/hos15020396/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15020396/original/hos15020396-rumah-di-jual-di-balikpapan-utara-balikpapan-1696559158.jpg,RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,1,120 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
8,RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,https://www.rumah123.com//properti/balikpapan/hos11693427/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693427/original/hos11693427-rumah-di-jual-di-balikpapan-utara-balikpapan-1667784787.jpg,RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,1,120 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
9,PERUM BUKIT MUTIARA,https://www.rumah123.com//properti/balikpapan/hos10734651/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10734651/original/hos10734651-rumah-di-jual-di-balikpapan-utara-balikpapan-1659025673.jpg,PERUM BUKIT MUTIARA,Rp 650 Juta,"Balikpapan Utara, Balikpapan",2,2,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
10,PERUM BUKIT MUTIARA,https://www.rumah123.com//properti/balikpapan/hos11693703/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693703/original/hos11693703-rumah-di-jual-di-balikpapan-utara-balikpapan-1667786273.jpg,PERUM BUKIT MUTIARA,Rp 650 Juta,"Balikpapan Utara, Balikpapan",2,2,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
11,Rumah Mewah Balikpapan,https://www.rumah123.com//properti/balikpapan/hos13783833/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-09-18-05-13-20-b4ed2ac0-70b1-4f68-8e52-4b21e13d8da6.jpg,Rumah Mewah Balikpapan,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",12,10,719 m²,800 m²,,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
12,Rumah Mewah Balikpapan,https://www.rumah123.com//properti/balikpapan/hos14436207/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-09-18-06-14-44-1a6b60d7-7379-412e-8d6f-62c64d09107d.jpg,Rumah Mewah Balikpapan,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",12,10,719 m²,800 m²,,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
