Unnamed: 0,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
23,DI  RUMAH BARU SIAP HUNI,515.0,"Balikpapan Utara, Balikpapan",2.0,1.0,96,45,SHM - Sertifikat Hak Milik,1300 Watt
23,2 RUMAH DI SONITEN II PERUM PESONA ALAM PERMAI,2800.0,"Balikpapan Utara, Balikpapan",4.0,4.0,256,180,HGB - Hak Guna Bangunan,1300 Watt
24,MURAH RUMAH 2 LANTAI BEKAS GUDANG OBAT-OBATAN DAN KANTOR  SEKALIGUS TEMPAT TINGGAL DENGAN LUAS TANAH 230 M ² SIAP PAKAI,1300.0,"Balikpapan Utara, Balikpapan",3.0,2.0,230,350,SHM - Sertifikat Hak Milik,10000 Watt
25,"RUMAH 2 LANTAI  STRATEGIS PUSAT KOTA, DEKAT DENGAN MALL EWALK BSB",3200.0,"Balikpapan Selatan, Balikpapan",5.0,4.0,250,213,SHM - Sertifikat Hak Milik,2200 Watt
26,TURUN HARGA!!!  CEPAT RUMAH CANTIK BARU SELESAI RENOVASI DI PERUMAHAN TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,600.0,"Balikpapan Utara, Balikpapan",2.0,1.0,91,82,SHM - Sertifikat Hak Milik,1300 Watt
26,RUMAH 2 LANTAI SIAP HUNI DENGAN HARGA TERJANGKAU,900.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,189,90,SHM - Sertifikat Hak Milik,1300 Watt
27,"BALIKPAPAN, RUMAH STRATEGIS DEKAT JALAN RAYA",2100.0,"Balikpapan Selatan, Balikpapan",3.0,1.0,776,50,SHM - Sertifikat Hak Milik,900 Watt
28,"BALIKPAPAN, RUMAH CANTIK DAN MINIMALIS DI PALM HILLS",695.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,80,45,SHM - Sertifikat Hak Milik,1300 Watt
28,Rumah Bagus 2 Lantai SHM dekat dengan Pusat Perkotaan ,1900.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,120,120,SHM - Sertifikat Hak Milik,2200 Watt
29,Rumah Bagus Siap Huni di Balikpapan SHM,2800.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,160,150,SHM - Sertifikat Hak Milik,4400 Watt
29,RUMAH EMPAT KAMAR TIDUR DALAM PERUMAHAN LUAS TENGAH KOTA BALIKPAPAN,750.0,"Balikpapan Selatan, Balikpapan",4.0,1.0,84,115,SHM - Sertifikat Hak Milik,2200 Watt
30,RUMAH DI DAUN VILLAGE,1200.0,"Balikpapan Selatan, Balikpapan",3.0,1.0,136,85,SHM - Sertifikat Hak Milik,1300 Watt
30,RUMAH CANTIK 1 LANTAI HOOK FULLY FURNISHED DALAM CLUSTER HUNIAN NYAMAN ASRI DAN TENANG,2200.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,221,150,SHM - Sertifikat Hak Milik,3500 Watt
31,Rumah Bagus di Karang Rejo Bergarasi Luas,2100.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,296,371,SHM - Sertifikat Hak Milik,4400 Watt
31,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",2400.0,"Damai, Balikpapan",2.0,3.0,144,250,HGB - Hak Guna Bangunan,2200 Watt
32,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,2300.0,"Balikpapan Baru, Balikpapan",3.0,2.0,180,300,SHM - Sertifikat Hak Milik,2200 Watt
33,BALIKPAPAN PERUM BUKIT DAMAI INDAH,1850.0,"Damai, Balikpapan",3.0,2.0,120,80,SHM - Sertifikat Hak Milik,1300 Watt
33,"BALIKPAPAN, RUMAH COZY DI REGENCY",1550.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,168,91,SHM - Sertifikat Hak Milik,2200 Watt
34,RUMAH CANTIK DI TENGAH KOTA BALIKPAPAN,650.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,120,48,SHM - Sertifikat Hak Milik,1300 Watt
34,BALIKPAPAN RUMAH MURAH SEPINGGAN,900.0,"Balikpapan Timur, Balikpapan",3.0,2.0,404,150,SHM - Sertifikat Hak Milik,1300 Watt
35,RUMAH CANTIK DI TENGAH KOTA BALIKPAPAN,650.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,120,48,SHM - Sertifikat Hak Milik,1300 Watt
36,PERUMAHAN MEWAH BALIKPAPAN REGENCY,800.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,168,84,SHM - Sertifikat Hak Milik,1300 Watt
36,"Dijual Rumah di Komplek Borneo Paradiso Cluster Oakwood , Balikpapan",825.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,90,55,SHM - Sertifikat Hak Milik,2200 Watt
37,ŔUMAH MINIMALIS 2 LANTAI SIAP HUNI DI SEPINGGAN BARU,900.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,104,100,SHM - Sertifikat Hak Milik,1300 Watt
37,Rumah murah tengah kota,700.0,"Muara Rapak, Balikpapan",2.0,2.0,150,130,SHM - Sertifikat Hak Milik,2200 Watt
38,BALIKPAPAN PERUM BALIKPAPAN BARU,1650.0,"Balikpapan Baru, Balikpapan",3.0,2.0,165,64,SHM - Sertifikat Hak Milik,1300 Watt
39,RUMAH STRATEGIS SATU LANTAI DI PERUMAHAN BUKIT DAMAI INDAH,1700.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,155,82,SHM - Sertifikat Hak Milik,4400 Watt
39,Rumah 3 Lantai Konsep Smart Home Tengah Kota Balikpapan,1120.0,"Balikpapan Tengah, Balikpapan",3.0,3.0,84,90,SHM - Sertifikat Hak Milik,2200 Watt
40,RUMAH SATU LANTAI BESAR MATRIAL RUMAH PREMIUM DALAM KOMPLEK PERUMAHAN,3700.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,315,242,SHM - Sertifikat Hak Milik,6600 Watt
41,TURUN HARGA !!RUMAH MURAH DEKET DOME DAN LOTTE MART BALIKPAPAN,450.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,105,50,SHM - Sertifikat Hak Milik,1300 Watt
41,"Dijual Rumah di Balikpapan Baru Cluster Vancouver, Balikpapan",3200.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,200,155,SHM - Sertifikat Hak Milik,2200 Watt
42,CANTIK DAN TERAWAT HARGA BERSAING,1500.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,120,90,SHM - Sertifikat Hak Milik,3500 Watt
43,RUMAH CLUSTER LB 150,1700.0,"Balikpapan Utara, Balikpapan",4.0,3.0,180,150,SHM - Sertifikat Hak Milik,2200 Watt
43,BEST SELLER RUMAH ADA KOLAM RENANG HARGA 3M-AN,3500.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,315,175,SHM - Sertifikat Hak Milik,2200 Watt
44,RUMAH MURAH SIAP HUNI DEKAT BANDARA DAN KANTOR KEDINASAN,750.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,120,SHM - Sertifikat Hak Milik,1300 Watt
45,BALIKPAPAN  PERUMAHAN BUKIT DAMAI INDAH,2500.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,240,100,SHM - Sertifikat Hak Milik,1300 Watt
45,JARANG ADA DALAM KOMPLEK PERUMAHAN TENGAH KOTA,400.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,72,56,SHM - Sertifikat Hak Milik,1300 Watt
46,MINIMALIS LINGKUNGAN BERSIH RAMAH ANAK HOMMY,1650.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,152,95,SHM - Sertifikat Hak Milik,2200 Watt
46,RUMAH CANTIK MINIMALIS SIAP HUNI DEKAT AKSES IKN,500.0,"Balikpapan Utara, Balikpapan",2.0,2.0,96,96,SHM - Sertifikat Hak Milik,2200 Watt
47,RUMAH TEPI JALAN BATU AMPAR,1900.0,"Balikpapan Utara, Balikpapan",4.0,4.0,276,250,SHM - Sertifikat Hak Milik,3500 Watt
47,DUA LANTAI TIGA KAMAR SELANGKAH KE BALIKPAPAN BARU,1100.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,108,60,SHM - Sertifikat Hak Milik,1300 Watt
48,RUMAH LAMA BANGUNAN LEGA HARGA ISTIMEWA,800.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,162,230,SHM - Sertifikat Hak Milik,1300 Watt
48,INPRES,1200.0,"Balikpapan Utara, Balikpapan",5.0,3.0,195,175,HGB - Hak Guna Bangunan,2200 Watt
49,RUMAH DI GRAND CITY SEMI FURNISH 2 KAMAR,1200.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,78,47,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt
49,RUMAH 2 LANTAI KEBAWA SIAP HUNI,1800.0,"Balikpapan Utara, Balikpapan",3.0,3.0,194,200,SHM - Sertifikat Hak Milik,2200 Watt
50,RUMAH BAGUS JARANG ADA POSISI HOOK DALAM CLUSTER DEKAT MASJID NAMIRAH,4800.0,"Balikpapan Baru, Balikpapan",4.0,4.0,400,225,SHM - Sertifikat Hak Milik,3500 Watt
50,RUMAH 2 LANTAI SIAP HUNI POSISI HOOK DI BALIKPAPAN REGENCY.,1750.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,180,150,SHM - Sertifikat Hak Milik,2200 Watt
51,RUMAH DUA LANTAI     POSISI HOOK DI GRAND CITY,1850.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,256,68,SHM - Sertifikat Hak Milik,2200 Watt
51,RUMAH TANPA DP ANGSURAN 3 JT-AN SETIAP BULAN,880.0,"Balikpapan Tengah, Balikpapan",2.0,2.0,60,47,HGB - Hak Guna Bangunan,1300 Watt
52,RUMAH DELAPAN KAMAR TIDUR DI SIMPANG JALAN BOLUVERD COCOK UNTUK MESS KANTOR RUMAH TINGGAL ATAU USAHA,3000.0,"Gn. Samarinda, Balikpapan",8.0,3.0,384,220,SHM - Sertifikat Hak Milik,3500 Watt
